lbl,dflt
"partly entered bday discard","Sie haben den Geburtstag nur teilweise eingegeben. Möchten Sie die Eingabe des Geburtstags beenden oder verwerfen, was Sie eingegeben haben?"
"enter missing info","Fehlende Informationen eingeben"
"discard bday","B-Day verwerfen"
"partly entered anniv discard","Sie haben den Jahrestag nur teilweise eingegeben. Möchten Sie die Eingabe des Jahrestages beenden oder verwerfen, was Sie eingegeben haben?"
"discard anniv","Jahrestag ablegen"
"1 time conv","Einmalige Umwandlung"
"import from excel","Import aus Excel"
"instructions","Anweisungen"
"import xls cust instruct","Dadurch wird eine Liste von Kunden und Kontakten aus einer .xls-Tabelle gezogen und in <APPNAME> importiert.\nBitte wählen Sie unten die .xls-Datei aus und geben Sie an, welche Spalten welche Informationen enthalten"
"spreadsheet options","Tabellenkalkulationsoptionen"
"xls file","XLS-Datei"
"sheet name","Blatt Name"
"start on row","Start On Row"
"map cust cols","Bitte ordnen Sie die Kundenspalten in der Datei"
"old cust id","Alte Cust. ID"
"p addr1","P Addr. 1"
"m addr1","M Addr. 1"
"credit limit","Kreditrahmen"
"cust name","Kunde. Name"
"fax","Fax"
"credit hold","Kredit halten"
"last dt","Letzte Dt"
"last dt exp","Zeilen in der .csv-Datei mit einem "letzten Datum", das länger als 5 Jahre zurückliegt, werden nicht importiert."
"active flag","Aktive Flagge"
"map cont cols","Bitte ordnen Sie die Kontaktspalten in der Datei"
"parse name","Parsen Name"
"full name","Vollständiger Name"
"home","Startseite"
"title","Titel"
"import cust from csv","Kunden aus einer .csv-Datei importieren"
"csv file","CSV-Datei"
"import csv cust instruct","Dadurch wird eine Liste von Kunden und Kontakten aus einer .csv-Datei gezogen, die Sie in <APPNAME> importieren können.\nBitte wählen Sie die .csv-Datei unten aus und geben Sie an, in welcher Reihenfolge die Informationen vorliegen"
"file options","Datei Optionen"
"map cust order","Bitte teilen Sie uns mit, in welcher Reihenfolge die Informationen aufgelistet sind\nd.h. wenn Ihre Datei wie folgt aussieht: "Firmenname, 123 Main St, Scott, Rindlisbacher"\nDann würden Sie eingeben:\nFirmenname = A, Adresse = B, Vorname des Ansprechpartners = C, Nachname des Ansprechpartners = D\n    Dies ist leicht möglich, wenn Sie die CSV-Datei in Excel anzeigen."
"map cont order","Bitte teilen Sie uns mit, in welcher Reihenfolge die Informationen aufgelistet werden (z. B. Vorname = 3, Nachname, Adresse = 4)"
"file contents line 1","1. Zeile der Datei"
"show line 1 file","Zeile 1 der Datei anzeigen"
"step 1","Schritt 1"
"step 2","Schritt 2"
"step 3","Schritt 3"
"step 4","Schritt 4"
"<APPNAME> options","<APPNAME>-Optionen"
"keep app cust and append","Behalten Sie bestehende <APPNAME>-Kunden bei, fügen Sie einfach Kunden aus der Datei hinzu"
"delete all app cust","Löschen Sie ALLE <APPNAME>-Kunden für die ausgewählte lower(<LBLBRANCH>) und ersetzen Sie sie durch die Kunden aus der Datei"
"default terms","Standardbedingungen"
"must map all req columns","Sie müssen die Reihenfolge für alle Pflichtfelder festlegen."
"import","Importieren"
"must select a .csv file","Sie müssen eine .csv-Datei auswählen."
"specify start row","Sie müssen die erste zu importierende Zeile angeben."
"are you sure delete all app cust","Sind Sie sicher, dass Sie ALLE <APPNAME>-Kunden für die ausgewählte lower(<LBLBRANCH>) löschen und mit den Kunden aus der Datei ersetzen möchten?"
"yes continue","Ja, weiter"
"no cancel","Nein, Abbrechen"
"imported x custs","Erfolgreich <CNT> Kunden importiert."
"parse addr","Adresse parsen"
"p addr cols","P Addr-Spalten (z. B. "A,B,C")"
"m addr cols","M Zusatzspalten (z. B. "A,B,C")"
"importing cust please wait","Kunden importieren, bitte warten"
"scroll right to see more fields","Nach rechts scrollen, um weitere Felder zu sehen"
"note this could take a bit","HINWEIS: Das kann ein bisschen dauern..."
"job contract does not match linked job contract","Das Vertragskennzeichen dieses Auftrags stimmt nicht mit dem Vertragskennzeichen der verknüpften Aufträge überein (einer ist vertraglich gebunden, der andere nicht).\nDie Vertragskennzeichen der verknüpften Aufträge sollten übereinstimmen.\n\nMöchten Sie diese Diskrepanz beheben und beide Aufträge als "Vertrag" kennzeichnen?"
"sign up","Anmeldung"
"create app account","Erstellen Sie Ihr <APPNAME>-Konto"
"company info","Infos zum Unternehmen"
"company name","Name des Unternehmens"
"new user info","Neue Benutzerinformationen"
"sign up first user account note","HINWEIS: Sobald Ihr Konto erstellt ist, melden Sie sich mit diesem Benutzer an. Sobald Sie angemeldet sind, können Sie weitere Benutzer anlegen."
"physical addr same as mail","Die physische Adresse ist dieselbe wie die Postanschrift."
"physical addr1","Physische Adresse 1"
"mailing addr1","Postanschrift 1"
"app account options","<APPNAME> Produkt-Optionen"
"<APPNAME> product","<APPNAME> Produkt"
"must select <APPNAME> product","Sie müssen ein <APPNAME>-Produkt auswählen"
"current <APPNAME> product","Aktuelles <APPNAME>-Produkt"
"upgrade at any time","Sie können jederzeit aufrüsten"
"custcode requirements","Der Unternehmenscode muss zwischen 4 und 16 Zeichen lang sein, mit einem Buchstaben beginnen und nur Buchstaben/Zahlen enthalten (keine Leerzeichen)."
"creating account please wait","Konto erstellen, bitte warten"
"sign up button","Konto erstellen"
"create account","Konto erstellen"
"cust code must be unique","Unternehmenskennzeichen müssen eindeutig sein.\n\nDer von Ihnen eingegebene Unternehmenscode wird bereits von einem anderen <APPNAME>-Kunden verwendet. Bitte geben Sie einen eindeutigen Unternehmenscode ein."
"suggest","vorschlagen"
"suggested custcode","Vorgeschlagener Unternehmenscode: <CUSTCODE>"
"use suggested custcode","Verwenden Sie "<CUSTCODE>"."
"could not suggest cust code","Es wurden nicht genügend Informationen eingegeben. Der zu verwendende Unternehmenscode konnte nicht automatisch ermittelt werden <span style='font-size:20px'>&#128533;</span>"
"dont have an account","Sie haben noch kein Konto?"
"have an account","Haben Sie ein Konto?"
"not allowed","Nicht erlaubt"
"login","Anmeldung"
"must enter all req fields","Sie müssen alle erforderlichen Felder ausfüllen, bevor Sie fortfahren können."
"app account is setup","Herzlichen Glückwunsch! Ihr <APPNAME>-Konto ist nun erstellt und einsatzbereit.\nSie sollten eine E-Mail mit Ihrem Unternehmenscode und Benutzernamen für Ihre Unterlagen erhalten haben.\n\nSie benötigen diese Informationen, um sich anzumelden:\nUnternehmenscode: <CUSTCODE>\nUser Name: <USERNAME>\nPasswort: [Wie immer Sie es festgelegt haben :) ]\n\nKlicken Sie auf <a href="https://help.cenpoint.com/docs" target="_blank">hier</a>, um die Hilfedokumente für die ersten Schritte anzuzeigen"
"verify","Überprüfen Sie"
"verify code","Verifizierungscode"
"must enter an email before verify","Sie müssen eine E-Mail-Adresse eingeben, um sich zu verifizieren"
"check email verify code","Bitte prüfen Sie Ihre E-Mail auf den Verifizierungscode"
"sign up step 1","Schritt 1 - Überprüfen Sie Ihre E-Mail"
"sign up step 2","Schritt 2 - Konto erstellen"
"must verify email before account","Bitte verifizieren Sie Ihre E-Mail, bevor Sie ein Konto erstellen."
"must enter verification code","Bitte geben Sie den Verifizierungscode ein, den Sie per E-Mail erhalten haben."
"incorrect verification code","Der von Ihnen eingegebene Verifizierungscode ist falsch."
"too many incorrect attempts verify again","Sie haben einen falschen Verifizierungscode zu oft eingegeben. Bitte klicken Sie erneut auf "Verifizieren", damit Ihnen ein neuer Code zugesandt wird."
"verified email has changed","Sieht aus, als hätten Sie die verifizierte E-Mail-Adresse geändert. Bitte verifizieren Sie diese neue E-Mail-Adresse."
"cannot deactive user signed in as","Sie können den Benutzer, mit dem Sie angemeldet sind, nicht deaktivieren."
"does not want texts","will keine Texte"
"must agree to tofu","Sie müssen den Nutzungsbedingungen und der Lizenzvereinbarung zustimmen, bevor Sie fortfahren können."
"validate","Validieren Sie"
"enter password","Passwort eingeben"
"card to keep on file","Karte zur Aufbewahrung in der Akte"
"texting phone number","Texting Phone #"
"area code","Vorwahl"
"must enter an address before you can find a texting number","Sie müssen eine gültige Adresse eingeben, bevor Sie nach einer SMS-Telefonnummer suchen können."
"must enter an area code to search for","Sie müssen eine Vorwahl eingeben, um zu suchen"
"no numbers available for area code","Für die Vorwahl sind keine Nummern verfügbar: <AREACODE>"
"select texting phone number","Texting Phone # auswählen"
"you have not chosen a texting phone no","Sie haben keine SMS-Telefonnummer ausgewählt.\n\n<APPNAME> verwendet die SMS-Telefonnummer, um eine Reihe von Aufgaben auszuführen, darunter:\n &bull; Bestätigen Sie den Terminplan für den nächsten Tag mit Ihren Kunden\n &bull; Senden von Textnachrichten an Ihre Kunden, um ihnen mitzuteilen, wann Sie auf dem Weg sind\n &bull; Benachrichtigen Sie Ihre Kunden über die erledigte Arbeit und lassen Sie sich eine Unterschrift auf dem Einsatzticket geben\n &bull; Zusammen mit dem Unterschriftslink können Sie auch Geld (CC) von Nachnahmeaufträgen sammeln\n &bull; Etc.\n\n Bitte wählen Sie eine SMS-Telefonnummer, um zu vermeiden, dass Sie einige wichtige Funktionen von <APPNAME> nicht nutzen können."
"skip for now","Vorerst überspringen"
"pro code","Pro Code"
"must enter valid pro code","Sie müssen einen gültigen Pro-Code eingeben, um sich für die Pro-Version anzumelden, oder den <APPNAME>-Vertrieb kontaktieren."
"invalid pro code","Ungültiger Pro-Code"
"download desktop","Desktop-Client installieren"
"portal sign in","Portal-Anmeldung"
"manage photo","Foto-Optionen"
"print with ft","Drucken mit FT"
"print with qt","Drucken mit Zitat"
"ocip/ccip","OCIP/CCIP"
"verifying cc","CC überprüfen"
"create cont from cust","<Kontakt von Kunde erstellen>"
"hide task on qt","Aufgabe ausblenden bei Angebot"
"can only hide items if price is 0","Sie können nur Artikel ausblenden, die einen Preis von Null (0,00) haben."
"shop","Shop"
"job site","Baustelle"
"other","Andere"
"previous job","Vorheriger Job"
"credit avail","Kredit verfügbar."
"credit available","Kredit verfügbar"
"add wo","W.O. hinzufügen"
"not authorized did not create","Sie sind nicht berechtigt, dieses <ITEM> zu bearbeiten, da Sie es nicht erstellt haben."
"force offline mode","Offline-Modus erzwingen"
"offline","Offline"
"force offline off but still offline no service","Offline-Modus erzwingen ist ausgeschaltet. Es sieht jedoch so aus, als ob Sie keinen Dienst haben. Wir werden Sie im Offline-Modus halten, bis wir feststellen, dass Sie wieder Dienst haben."
"open ft","Offenes FT"
"unsubmitted ft must submit before proceed","Sie haben <CNT> unübermittelte FT(s) von früheren Tagen.\nBitte öffnen Sie FT: <FTICKID> von: <DT> und schließen Sie Ihren Papierkram ab und reichen Sie dann die FT"
"job id","Job-ID"
"ft cannot be over 24 hrs create 2nd ft","Feldtickets dürfen nicht länger als 24 Stunden dauern. Wenn mehr als 24 Stunden Arbeit geleistet wurden, erstellen Sie bitte ein zweites Feldticket."
"ft cannot be over 24 hrs contact office","Feldkarten dürfen nicht länger als 24 Stunden dauern. Bitte kontaktieren Sie das Büro, um Ihre Zeitkarte ausfüllen zu lassen."
"uploaded by","Hochgeladen von"
"search desc notes file","Desc, Notizen, Dateiname, Hochgeladen von"
"daily summary","Tägliche Zusammenfassung"
"schedule summary","Zeitplan. Zusammenfassung"
"sched tasks summary","Zeitplan. Aufgaben Zusammenfassung"
"load my vehicle","Mein Fahrzeug laden"
"status log should normally be filled out on the tech view","Das Statusprotokoll sollte normalerweise in der technischen Ansicht ausgefüllt und nur hier angezeigt werden."
"on hand only","Nur zur Hand"
"",""
"customers-near-me","Kunden in meiner Nähe"
"radius-mi","Meilen"
"radius-km","Kilometer"
"results","Ergebnisse"
"navigate","navigieren."
"navigate-to","Navigieren Sie zu"
"forgot-password","Passwort vergessen"
"enter-new-password","Neues Passwort eingeben"
"re-enter-new-password","Neues Passwort erneut eingeben"
"new-password-low-hint","Mindestens 4 Zeichen"
"new-password-high-hint","Maximal 24 Zeichen"
"pwd-do-not-match","Passwörter stimmen nicht überein"
"forgot-password-instr","Bitte geben Sie unten die Benutzerinformationen an"
"reset-options","Optionen zurücksetzen"
"reset-pwd","Passwort zurücksetzen"
"link-is-expired-or-invalid","Dieser Link ist abgelaufen oder ungültig. Bitte besorgen Sie sich einen neuen Link und versuchen Sie es erneut"
"invalid-forgot-pwd","Ungültiger Firmencode oder Benutzername"
"reset-link-success","Sie haben einen Link mit Anweisungen erhalten, wie Sie Ihr Passwort zurücksetzen können. Bitte prüfen Sie Ihre E-Mail oder Ihr Telefon."
"reset-success","Ihr Passwort wurde zurückgesetzt - erfolgreich. Bitte melden Sie sich mit Ihrem neuen Passwort an."
"reset-link-instr","Bitte wählen Sie aus, wohin Sie den Link zum Zurücksetzen Ihres Passworts senden möchten"
"reset-page-instr","Hallo <NAME>?"
"view-docs","Docs anzeigen"
"docs-cnt","Dokumente zählen"
"upload-large-file","Wir konnten Ihre Datei <FILE> nicht hochladen, weil sie zu groß ist. Die maximale Dateigröße beträgt <MAX_FILE_SIZE>MB"
"edit-photo","Foto bearbeiten"
"save-copy","Als Kopie speichern"
"edit-image","Bild bearbeiten"
"confirm cancel pic take","Möchten Sie die Bearbeitung abbrechen und das Foto trotzdem speichern oder das Hochladen des Fotos abbrechen?"
"save pic","Foto speichern"
"photo view instruct","Wenn Sie ein Foto im Vollbildmodus anzeigen, klicken Sie mit der rechten Maustaste (auf mobilen Geräten gedrückt halten), um schnell die Fotooptionen für dieses Foto anzuzeigen (z. B. Notizen eingeben / Foto bearbeiten)."
"send tech sched set","An Techs - Zeitplan. Satz für <DATE>"
"send message","Nachricht senden"
"confirm send tech sched set text","Textnachricht an alle Techniker der lower(<LBLBRANCH>) <BRANCH> senden und WOs als an Techniker gesendet kennzeichnen?"
"messages sent","Gesendete Nachricht(en)"
"cannot send tech message to all branches","Sie können nicht für alle <LBLBRANCHES> eine Nachricht an die Techniker senden. Bitte wählen Sie eine bestimmte lower(<LBLBRANCH>) und versuchen Sie es erneut."
"sending...","Ich schicke..."
"try again","Erneut versuchen"
"email auth label","Erlauben Sie <APPNAME>, sich mit Ihrem E-Mail-Konto zu verbinden"
"saving changes please wait","Änderungen werden gespeichert... Bitte warten Sie vor dem Aktualisieren oder Beenden"
"saving changes","Speichern von Änderungen..."
"everything up dt","Alles ist auf dem neuesten Stand"
"edit img on upload","Bilder beim Hochladen bearbeiten"
"get signatures","Unterschriften erhalten"
"other sig device","Andere Signaturen (Mein Gerät)"
"other sig text","Andere Signaturen (Textlink)"
"sent","Gesendet"
"text link to site contact","Textlink zum Kontakt vor Ort"
"text sig link","Text-Signatur-Link"
"no offline template","Es wurde keine Offline-Vorlage gefunden! Bitte gehen Sie online, um sie vom Server zu holen"
"select new insp","Neue Inspektion auswählen"
"insp already on wo","(<COUNT> Bereits auf WO)"
"insp already in wo","<COUNT> Inspektion(en) wurden bereits für diesen <INSPTYPE> am (<DATE>) abgeschlossen. Möchten Sie eine weitere eingeben?"
"no insp quests","Es wurden keine Inspektionsfragen gefunden."
"travel mode","Reisemodus"
"driving","Fahren"
"public transportation","Öffentliche Verkehrsmittel"
"not completed","Nicht abgeschlossen"
"signed by","Unterzeichnet von:"
"my inspections","Meine unterschriebenen Inspektionen"
"others inspections","Sonstige Inspektionen"
"not signed","Nicht unterschrieben"
"fill insp before ft","Sie müssen die <NAME>-Kontrolle ausfüllen und unterschreiben, bevor Sie das Field Ticket öffnen können."
"insp already signed","(<COUNT> Bereits unterschrieben)"
"insp not signed","Bitte unterschreiben Sie die Inspektion vor dem Download"
"insp not saved","Die Inspektion wird nicht gespeichert, Sie können sie also nicht herunterladen."
"no addl techs","Keine zusätzlichen Techniker gefunden"
"no cust sigs","Keine Kundenunterschriften"
"no other sigs","Keine weiteren Unterschriften"
"add my notes","Meine Notizen hinzufügen"
"not signed by","Nicht unterschrieben von:"
"refresh","Auffrischen"
"answer insp quest","Bitte beantworten Sie mindestens eine Frage, bevor Sie Ihre Notizen speichern"
"add insp","Inspektion hinzufügen"
"can not delete signed insp","Diese Inspektion wurde unterzeichnet und kann nicht gelöscht werden. Bitte kontaktieren Sie Ihr Büro, um diese Inspektion zu löschen."
"can not delete req insp","Diese Inspektion ist obligatorisch und kann nicht gelöscht werden. Bitte kontaktieren Sie Ihr Büro, um diese Inspektion zu löschen."
"insp sig cust","Kunde (Ansprechpartner vor Ort, PM, .etc)"
"insp sig othr","Sonstige (Sicherheitsinspektor, Kranführer, .usw.)"
"signed but missing cnt","Unterzeichnet (<CNT> fehlende Unterschriften)"
"delete insp","Sind Sie sicher, dass Sie diese Inspektion löschen wollen?"
"on site","Vor Ort"
"time card approved entire ft","Zeitkarte genehmigt (gesamtes FT)"
"time card approved","Zeitkarte genehmigt"
"hold for approval","Zur Genehmigung zurückhalten"
"ready for invoicing","Bereit für die Rechnungsstellung"
"time cannot be changed after approved","Die Zeit kann nicht mehr geändert werden, nachdem sie genehmigt wurde."
"total price","Gesamtpreis"
"wo & ft flow","WO & FT Fluss"
"search wo id job name cust job addr","WO ID, Job Name/Adresse, Kunde"
"open work order","Offener Arbeitsauftrag"
"job not linked to quote","Dieser Auftrag ist nicht mit einem Angebot verbunden."
"connecting to email provider","Verbindung zu Ihrem E-Mail-Anbieter herstellen und Details abrufen ..."
"from","Von"
"to","An"
"quick dates","Schnelle Termine"
"create invoices","Rechnungen erstellen"
"week to date","Bisherige Woche"
"month to date","Monat bis Datum"
"year to date","Bisheriges Jahr"
"last two weeks","Letzte zwei Wochen"
"last month","Letzter Monat"
"last quarter","Letztes Quartal"
"last year","Letztes Jahr"
"last year to date","Letztes Jahr bis heute"
"last pay week","Letzte Lohnwoche"
"anytime","Jederzeit"
"next week","Nächste Woche"
"next two weeks","Nächste zwei Wochen"
"next month","Nächster Monat"
"next quarter","Nächstes Quartal"
"next year","Nächstes Jahr"
"next year to date","Nächstes Jahr Bis heute"
"all customers","Alle Kunden"
"(all)","<Alle>"
"pref delivery","Pref. Lieferung"
"quoted","Zitiert"
"quoted only","Nur zitiert"
"non quoted only","Nur nicht börsennotierte Unternehmen"
"aia","AIA"
"aia only","Nur AIA"
"non aia only","Nur Nicht-AIA"
"cc on file","CC On File"
"<do not change>","<Nicht ändern>"
"also set job status to","Stellen Sie auch den Auftragsstatus auf"
"flag inv sent to cust","Rechnungen als an den Kunden gesendet kennzeichnen."
"ft ready to invoice only","FT Nur rechnungsfertig"
"ft pend approval only","FT Nur bis zur Genehmigung"
"inv date of","Rechnungsdatum von"
"use last ft dt as inv dt","Letztes Feld Ticketdatum als Rechnungsdatum pro Auftrag verwenden"
"ft qty of","FT Qty: <INV> (von <READY>)"
"sel ft tot","Sel. FT Tot."
"show more","Mehr anzeigen"
"show less","Weniger anzeigen"
"prev ft inv","Prev. FT in Rechnung gestellt"
"wo qty","WO Menge"
"job completed","Auftrag abgeschlossen"
"inv type","Inv. Typ"
"avg on site rate","Avg. Rate vor Ort"
"avg per hr rate","Avg. Stundensatz"
"inv due on","Inv fällig am"
"contract","Vertrag"
"wo qty remaining","WO Verbleibende Menge"
"confirm delete ft","Sind Sie sicher, dass Sie FT löschen wollen: <FTICKID>?"
"ft has been deleted","Das Feld Ticket: <FTICKID> wurde gelöscht."
"delete ft","FT löschen"
"delete wo","WO löschen"
"create invoice...","Rechnung erstellen..."
"inv for","Rechnungen für"
"preview","Vorschau"
"hide preview","Vorschau ausblenden"
"must select at least 1 ft to inv","Sie müssen mindestens ein Feld Ticket für die Rechnung auswählen."
"cust requires po and work missing req data really want to invoice","Dieser Kunde benötigt eine PO- oder Req. Nr. und bei 1 (oder mehreren) Arbeitsaufträgen fehlen die erforderlichen Daten. Sind Sie sicher, dass Sie diesem Kunden ohne die erforderlichen Daten eine Rechnung stellen wollen?"
"cust requires po and job missing req data really want to invoice","Dieser Kunde benötigt eine PO- oder Req. Nr. und bei diesem Auftrag fehlen die erforderlichen Daten. Sind Sie sicher, dass Sie diesem Kunden ohne die erforderlichen Daten eine Rechnung stellen wollen?"
"invoice below minimum really want to invoice","Der Preis für diese Rechnung / diesen Auftrag liegt unter dem Mindestpreis der lower(<LBLBRANCH>). Sind Sie sicher, dass Sie diesen Auftrag unterhalb des Mindestpreises abrechnen möchten?"
"creating preview...","Vorschau erstellen..."
"fin tran locked before","Gemäß den Einstellungen der lower(<LBLBRANCH>) sind Finanztransaktionen am oder vor dem <DATE> nicht erlaubt."
"ft has line item flagged taxable but no tax","FT <FTICKID> hat <CNT> Einzelposten, die als steuerpflichtig gekennzeichnet sind, aber es wurde keine Steuer berechnet. Ist dies korrekt?"
"mark fts ready to inv","Mark FT's Ready to Inv."
"email - pdf","E-Mail - PDF"
"email - link","E-Mail - Link"
"email - link pdf","E-Mail - Link & PDF"
"text - link","Text - Link"
"invoice only","Nur Rechnung"
"invoice and fts","Rechnung & FT's"
"cnt invoices have been created","<CNT> Rechnung(en) wurde(n) erstellt."
"select fts","FT's auswählen"
"view fts","Ansicht FT's"
"open customer","Offener Kunde"
"send an email","Eine E-Mail senden"
"email cc","Cc"
"subject","Thema"
"quick","Schnell"
"email bcc","Bcc"
"needs repair","Benötigt\n Reparatur"
"engine hours","Motorbetriebsstunden"
"body","Körper"
"attach","anhängen."
"remove","entfernen"
"no attachment found","Keine Anlage(n) gefunden."
"external file","Externe Datei"
"app quote","<APPABBR> Zitat"
"app field ticket","<APPABBR>-Feldkarte"
"app invoice","<APPABBR>-Rechnung"
"app invoice & fts","<APPABBR>-Rechnung & FTs"
"external photo","Externes Foto"
"must specify someone to send email to","Sie müssen eine Person angeben, an die die E-Mail gesendet werden soll."
"subject cannot be blank","Betreff kann nicht leer sein"
"body cannot be blank","Körper kann nicht leer sein"
"email sent","E-Mail gesendet!"
"quick email addresses","Schnelle E-Mail-Adressen"
"creating invoices...","Rechnungen erstellen..."
"job not selected to invoice","Der Auftrag ist nicht für die Rechnung ausgewählt."
"this will release hold approval and flag ready to inv","Dadurch wird die Genehmigungssperre für jede FV aufgehoben und die FV als "rechnungsfertig" gekennzeichnet."
"continue","Weiter"
"insp already done","<COUNT> <TYPE> Für diesen <TYPE> wurde(n) heute (<DATE>) bereits eine Prüfung durchgeführt. Möchten Sie eine weitere eingeben?"
"select ft to inv","Feldtickets für die Rechnungsstellung auswählen"
"yes/continue","Ja/Fortsetzen"
"create inv with date of","Rechnungen erstellen mit einem Rechnungsdatum von: <DATE>"
"veh insp req on date","Fahrzeuginspektion erforderlich für <VEHNAME> am <DATE>"
"must perform pretrip of veh before view wo","Sie müssen eine Inspektion des Fahrzeugs durchführen:\n\n<VEHNAME>\n\ndurchführen, bevor Sie den <TYPE> anzeigen können."
"must perform pretrip of veh before setting status","Sie müssen eine Inspektion des Fahrzeugs durchführen:\n\n<VEHNAME>\n\nbevor Sie die Zeit auf dem <TYPE> eingeben können"
"enter inspection","Inspektion eingeben"
"addl insp desc","Zusätzliche Beschreibung (fakultativ)"
"invoice anyway","Rechnung sowieso"
"must enter engine hours","Sie müssen die aktuellen Motorbetriebsstunden des Geräts eingeben"
"inspect","Überprüfen Sie"
"search inv id job name cust job addr","Inv. Nr., Auftragsname/Adresse, Kunde"
"invoices","Rechnungen"
"find insponly inv with bal today","InspektionNur Inv. mit Saldo finden"
"only inv with bal today","Nur Inv. mit Saldo"
"sec settings no create inv preview only","Ihre Sicherheitseinstellungen lassen das Erstellen von Rechnungen nicht zu. Sie werden die Rechnung nicht erstellen können."
"find invoices","Rechnungen finden"
"link expired","Dieser Link ist abgelaufen. Bitte fragen Sie nach einem neuen Link."
"link invalid","Dieser Link ist ungültig.\n\nBitte gehen Sie zu dem ursprünglichen Link zurück, den Sie erhalten haben, und versuchen Sie es erneut."
"find insp","Inspektion finden"
"email or text...","E-Mail oder Text..."
"paid","Bezahlt"
"balance","Bilanz"
"pretrip deprecated","Pretrip (veraltet)"
"manage insp","Verwalten von Inspektionen"
"insp def","Inspektion definieren"
"insp name","Inspektion Name"
"categories","Kategorien"
"questions","Fragen"
"available at","Verfügbar unter"
"set disp order","Anzeige einstellen \n Bestellung"
"manage insp cat","Inspektionskategorie verwalten"
"answer type","Antworttyp"
"must enter name","Muss Name eingeben"
"must pick ans type","Muss Antworttyp auswählen"
"insp type","Insp. Typ"
"no req insp found","Keine erforderlichen Inspektionen gefunden"
"add users","Benutzer hinzufügen"
"define tasks","Aufgaben definieren"
"quick start","Schnellstart"
"getting started instruct","Führen Sie die folgenden Schritte aus, um sich mit den Grundlagen von <APPNAME> vertraut zu machen."
"getting started instruct 2","<APPNAME> hat noch viel mehr zu bieten als die Grundlagen. Vergessen Sie also nicht, weiter zu erforschen, nachdem Sie diese gemeistert haben!"
"enter a customer","Einen Kunden eingeben"
"add a job","Einen Job hinzufügen"
"click add on the next screen to add a new","Klicken Sie auf dem nächsten Bildschirm auf +, um ein neues <ITEM> hinzuzufügen."
"explore the scheduler","Erkunden Sie den Scheduler"
"check out help docs for more info","Weitere Informationen finden Sie in der <span class="text-hyperlinkblue pointer">Hilfedokumentation</span>."
"manage insp quest","Frage zur Inspektion verwalten"
"tech is req to answer","Die Technik muss antworten"
"include notes section","Abschnitt "Anmerkungen" einbeziehen"
"set disp ordr","Reihenfolge der Anzeige festlegen"
"disp ordr instructions","Elemente nach oben/unten ziehen, um die Anzeigereihenfolge zu ändern"
"please select type to reorder","Bitte wählen Sie <TYPE> Typ, um die Reihenfolge der Anzeige zu ändern"
"(none)","<KEINE>"
"count","Zählen Sie"
"copy insp def","Definition der Kopierprüfung"
"paste insp def","Definition der Pasteninspektion"
"del insp cat","Sind Sie sicher, dass Sie diese Kategorie löschen möchten?"
"del insp quest","Sind Sie sicher, dass Sie diese Frage löschen möchten?"
"select at least 1 branch","Sie müssen diese Inspektion mindestens 1 lower(<LBLBRANCH>) zur Verfügung stellen, bevor Sie sie speichern können."
"must enter 1 cat and 1 quest","Sie müssen mindestens 1 Kategorie und 1 Frage eingeben, bevor Sie speichern können."
"must enter insp name and type","Sie müssen Prüfname und -art eingeben."
"no categories found","Keine Kategorien gefunden"
"no questions found","Keine Fragen gefunden"
"avail at branches","Verfügbar in den <LBLBRANCHES>"
"insp quest instructions","Definieren Sie Ihre Inspektionsfrage wie gewünscht. Die "Frage" könnte zum Beispiel "Überprüfung des Rettungsplans" lauten und die Kategorie "Arbeitsvorbereitung" haben."
"insp cat instructions","Definieren Sie Ihre Inspektionskategorie wie gewünscht. Die "Kategorie" könnte zum Beispiel "Motoröl prüfen" lauten und einen Antworttyp von "Ja, Nein, K.A.-Felder" haben."
"addl insp desc instruction","z.B. Vierter Stock, Scherenlift, ..."
"not avail template mode","Diese Aktion ist im Vorlagenmodus nicht verfügbar"
"leave","Verlassen Sie"
"stay","Bleiben Sie"
"new email","Neue E-Mail"
"manage plan","Plan verwalten"
"plan","Plan"
"must be system admin to proceed","Sie müssen ein Systemadministrator sein, um diese Aktion durchzuführen"
"manage account","Konto verwalten"
"upgrade","Upgrade"
"current","Aktuell"
"upgrade to","Upgrade auf"
"already have all features","Sehr schön! Sie haben bereits Zugang zu allen <APPNAME>-Funktionen."
"compare features","Merkmale vergleichen"
"compare features 2","Vergleichen\nMerkmale"
"for pricing click on compare feature or give us a call","Für Preise oder Fragen, klicken Sie auf 'Funktionen vergleichen' oder rufen Sie uns an"
"app #","8014786822"
"email for receipts","E-Mail-Quittungen an"
"must enter email for receipts","Für Quittungen müssen Sie eine E-Mail eingeben."
"confirm app upgrade","Tolle neue Funktionen erwarten Sie. Bitte bestätigen Sie:\n\nUpgrade von: <CURVERSION>\nTo: <NEWVERSION>?"
"send site contact","An Standortkontakte - auf Zeitplan für <DATE>"
"confirm send site contact sched set","Textnachricht an Standortkontakte für <OPTION> am <DATE> senden?"
"cannot send site contact message to all branches","Sie können nicht für alle lower(<LBLBRANCHES>) eine Nachricht an die Standortkontakte senden. Bitte wählen Sie eine bestimmte lower(<LBLBRANCH>) aus und versuchen Sie es dann erneut."
"1 wo","Nur 1. WO"
"all wo","Alle WOs"
"upgrading account","Konto aufrüsten"
