lbl,dflt,au,ca,sg,uk
"spreadsheet options","Spreadsheet Options","","","",""
"xls file","XLS File","","","",""
"sheet name","Sheet Name","","","",""
"start on row","Start On Row","","","",""
"map cust cols","Please map the customer columns in the file","","","",""
"old cust id","Old Cust. ID","","","",""
"p addr1","P Addr. 1","","","",""
"m addr1","M Addr. 1","","","",""
"credit limit","Credit Limit","","","",""
"cust name","Cust. Name","","","",""
"fax","Fax","","","",""
"credit hold","Credit Hold","","","",""
"last dt","Last Dt","","","",""
"last dt exp","Rows in the .csv file with a "Last Date" greater than 5 years ago will not be imported","","","",""
"active flag","Active Flag","","","",""
"map cont cols","Please map the contact columns in the file","","","",""
"parse name","Parse Name","","","",""
"full name","Full Name","","","",""
"home","Home","","","",""
"title","Title","","","",""
"import cust from csv","Import Customers From .csv File","","","",""
"csv file","CSV File","","","",""
"import csv cust instruct","This will pull a list of customers and contacts from a .csv file and allow you to import them into <APPNAME>.\nPlease select the .csv file below and specify which order the information is in","","","",""
"file options","File Options","","","",""
"map cust order","Please tell us what order the information is listed in\ni.e. if your file looks like: "Company Name, 123 Main St, Scott, Rindlisbacher"\nThen you would put:\ncust name = A, physical address = B, Contact First Name = C, Contact Last Name = D\n    This is easily when done when viewing CSV file in excel","","","",""
"map cont order","Please tell us what order the information is listed in (i.e. first name = 3, last name address = 4)","","","",""
"file contents line 1","1st line of file","","","",""
"show line 1 file","Show Line 1 Of File","","","",""
"step 1","Step 1","","","",""
"step 2","Step 2","","","",""
"step 3","Step 3","","","",""
"step 4","Step 4","","","",""
"<APPNAME> options","<APPNAME> Options","","","",""
"keep app cust and append","Keep existing <APPNAME> customers, just add customers from the file","","","",""
"delete all app cust","Delete ALL <APPNAME> customers for the selected lower(<LBLBRANCH>) and replace them with the customers from the file","","","",""
"default terms","Default Terms","","","",""
"must map all req columns","You must map/specify the order for all required fields.","","","",""
"import","Import","","","",""
"must select a .csv file","You must select a .csv file.","","","",""
"specify start row","You must specify the first row to import.","","","",""
"are you sure delete all app cust","Are you sure you want to Delete ALL <APPNAME> customers for the selected lower(<LBLBRANCH>) and repalce them with the customers from the file?","","","",""
"yes continue","Yes, Continue","","","",""
"no cancel","No, Cancel","","","",""
"imported x custs","Successfully imported <CNT> customers.","","","",""
"parse addr","Parse Address","","","",""
"p addr cols","P Addr Cols (i.e. "A,B,C")","","","",""
"m addr cols","M Addr Cols (i.e. "A,B,C")","","","",""
"importing cust please wait","Importing Customers, Please Wait","","","",""
"scroll right to see more fields","Scroll right to see more fields","","","",""
"note this could take a bit","NOTE: This could take a bit...","","","",""
"job contract does not match linked job contract","This job's contract flag does not match the linked jobs contract flag (one is contract, one is not).\nThe contract flag on linked jobs should match.\n\nWould you like to fix this discrepancy and make them both flagged as 'Contract'?","","","",""
"sign up","Sign Up","","","",""
"create app account","Create your <APPNAME> account","","","",""
"company info","Company Info","","","",""
"company name","Company Name","","","",""
"new user info","New User Info","","","",""
"sign up first user account note","NOTE: Once your account is created, you will sign in using this user. Once you are signed in, you can create more users.","","","",""
"physical addr same as mail","Physical address is the same as mailing","","","",""
"physical addr1","Physical Address 1","","","",""
"mailing addr1","Mailing Address 1","","","",""
"app account options","<APPNAME> Product Options","","","",""
"<APPNAME> product","<APPNAME> Product","","","",""
"must select <APPNAME> product","You must select a <APPNAME> Product","","","",""
"current <APPNAME> product","Current <APPNAME> Product","","","",""
"upgrade at any time","You can upgrade at any time","","","",""
"custcode requirements","Company Code must be between 4 & 16 char, start with a letter, and only have letters / numbers (no spaces)","","","",""
"creating account please wait","Creating Account, Please Wait","","","",""
"sign up button","Create Account","","","",""
"create account","Create Account","","","",""
"cust code must be unique","Company Codes must be unique. \n\nThe company code you entered is already in use by another <APPNAME> customer. Please enter a unique company code.","","","",""
"suggest","Suggest","","","",""
"suggested custcode","Suggested Company Code: <CUSTCODE>","","","",""
"use suggested custcode","Use "<CUSTCODE>"","","","",""
"could not suggest cust code","Not enough information entered. Could not auto determine a company code to use <span style='font-size:20px'>&#128533;</span>","","","",""
"dont have an account","Don't have an account?","","","",""
"have an account","Have an account?","","","",""
"not allowed","Not Allowed","","","",""
"login","Login","","","",""
"must enter all req fields","You must enter all required fields before proceeding.","","","",""
"app account is setup","Congrats! You're <APPNAME> account is now created and ready to go.\nYou should have received an email with your company code and user name for your records.\n\nYou will need this information to sign in:\nCompany Code: <CUSTCODE>\nUser Name: <USERNAME>\nPassword: [Whatever you set it to :) ]\n\nClick <a href="https://help.cenpoint.com/docs" target="_blank">here</a> to view the help docs to get started","","","",""
"verify","Verify","","","",""
"verify code","Verification Code","","","",""
"must enter an email before verify","You must enter an email address to verify","","","",""
"check email verify code","Please check your email for the verification code","","","",""
"sign up step 1","Step 1 - Verify Your Email","","","",""
"sign up step 2","Step 2 - Create Account","","","",""
"must verify email before account","Please verify your email before creating an account.","","","",""
"must enter verification code","Please enter the verification code you were emailed.","","","",""
"incorrect verification code","The verification code you entered is incorrect.","","","",""
"too many incorrect attempts verify again","You have entered an incorrect verification code too many times. Please click "Verify" again to have another code sent to you.","","","",""
"verified email has changed","Looks you changed the email address that was verified. Please verify this new email address.","","","",""
"cannot deactive user signed in as","You cannot de-activate the user you are signed in as.","","","",""
"does not want texts","does not want texts","","","",""
"must agree to tofu","You must agree to the Terms of Use and License Agreement before you can proceed.","","","",""
"validate","Validate","","","",""
"enter password","Enter Password","","","",""
"card to keep on file","Card To Keep On File","","","",""
"texting phone number","Texting Phone #","","","",""
"area code","Area Code","","","",""
"must enter an address before you can find a texting number","You must enter a valid address before you can search for a texting phone number.","","","",""
"must enter an area code to search for","You must enter an area code to search for","","","",""
"no numbers available for area code","No numbers availalbe for area code: <AREACODE>","","","",""
"select texting phone number","Select Texting Phone #","","","",""
"you have not chosen a texting phone no","You have not selected a texting phone number.\n\n<APPNAME> uses the texting phone number to perform a slew of tasks, including:\n &bull; Confirm the schedule for the next day with your customers\n &bull; Send text messages to your customers letting them know when you are on your way\n &bull; Notify your customers of work completed and get a signature on the field ticket\n &bull; Along with the signature link, you can also collect money (CC) from COD jobs\n &bull; Etc.\n\n Please select a texting phone number to avoid not being able to use several key features of <APPNAME>.","","","",""
"skip for now","Skip For Now","","","",""
"pro code","Pro Code","","","",""
"must enter valid pro code","You must enter a valid Pro Code to sign up for the Pro Version or contact <APPNAME> Sales.","","","",""
"invalid pro code","Invalid pro code","","","",""
"download desktop","Install Desktop Client","","","",""
"portal sign in","Portal Sign In","","","",""
"manage photo","Photo Options","","","",""
"print with ft","Print With FT","","","",""
"print with qt","Print With Quote","","","",""
"ocip/ccip","OCIP/CCIP","","","",""
"verifying cc","Verifying CC","","","",""
"create cont from cust","<Create Contact From Cust>","","","",""
"hide task on qt","Hide Task On Quote","","","",""
"can only hide items if price is 0","You can only hide items if they have a zero (0.00) price.","","","",""
"shop","Shop","","","",""
"job site","Job Site","","","",""
"other","Other","","","",""
"previous job","Previous Job","","","",""
"credit avail","Credit Avail.","","","",""
"credit available","Credit Available","","","",""
"add wo","Add W.O.","","","",""
"not authorized did not create","You are not authorized to edit this <ITEM> since you did not create it.","","","",""
"force offline mode","Force Offline Mode","","","",""
"offline","Offline","","","",""
"force offline off but still offline no service","Force offline mode is off. However, it looks like don't have service. We'll keep you in offline mode until we detect you have service again.","","","",""
"open ft","Open FT","","","",""
"unsubmitted ft must submit before proceed","You have <CNT> un-submitted FT(s) from previous days.\nPlease open FT: <FTICKID> from: <DT> and finalize your paperwork and then submit the FT","","","",""
"job id","Job ID","","","",""
"ft cannot be over 24 hrs create 2nd ft","Field Tickets cannot exceed 24 hr. If over 24 hours of work were completed, please create a second field ticket.","","","",""
"ft cannot be over 24 hrs contact office","Field Tickets cannot exceed 24 hr. Please contact the office to have them complete your time card.","","","",""
"uploaded by","Uploaded By","","","",""
"search desc notes file","Desc, Notes, File Name, Uploaded By","","","",""
"daily summary","Daily Summary","","","",""
"schedule summary","Sched. Summary","","","",""
"sched tasks summary","Sched. Tasks Summary","","","",""
"load my vehicle","Load My Vehicle","","","",""
"status log should normally be filled out on the tech view","The Status Log should normally be filled out from the tech view and only viewed here.","","","",""
"on hand only","On Hand Only","","","",""
"","","","","",""
"customers-near-me","Customers Near Me","","","",""
"radius-mi","Miles","","","",""
"radius-km","Kilometers","","","",""
"results","Results","","","",""
"navigate","Navigate","","","",""
"navigate-to","Navigate to","","","",""
"forgot-password","Forgot Password","","","",""
"enter-new-password","Enter New Password","","","",""
"re-enter-new-password","Re-enter New Password","","","",""
"new-password-low-hint","At least 4 characters","","","",""
"new-password-high-hint","Max 24 characters","","","",""
"pwd-do-not-match","Passwords do not match","","","",""
"forgot-password-instr","Please specify user information below","","","",""
"reset-options","Reset Options","","","",""
"reset-pwd","Reset Password","","","",""
"link-is-expired-or-invalid","This link is expired or invalid. Please get a new reset link and try again","","","",""
"invalid-forgot-pwd","Invalid company code or username","","","",""
"reset-link-success","A link has been sent to you with instructions on how to reset your password. Please check your email or phone.","","","",""
"reset-success","Your password has been reset-successfully. Please sign in with your new password.","","","",""
"reset-link-instr","Please select where you would like to send the link to reset your password","","","",""
"reset-page-instr","Hello <NAME>?","","","",""
"view-docs","View Docs","","","",""
"docs-cnt","Docs Count","","","",""
"upload-large-file","We could not upload your file <FILE> because it is too big. Max file size is <MAX_FILE_SIZE>MB","","","",""
"edit-photo","Edit Photo","","","",""
"save-copy","Save as copy","","","",""
"edit-image","Edit Image","","","",""
"confirm cancel pic take","Do you want to cancel editing and still save this photo or cancel uploading this photo?","","","",""
"save pic","Save Photo","","","",""
"photo view instruct","When viewing a photo full screen, right click (press and hold on mobile devices) to quickly see photo options for that photo (i.e. enter notes / edit photo).","","","",""
"send tech sched set","To Techs - Sched. Set for <DATE>","","","",""
"send message","Send Message","","","",""
"confirm send tech sched set text","Send Text Message to all Techs for lower(<LBLBRANCH>) <BRANCH> and flag WOs as sent to tech?","","","",""
"messages sent","Message(s) Sent","","","",""
"cannot send tech message to all branches","You cannot send a message to techs for all <LBLBRANCHES>. Please select a specific lower(<LBLBRANCH>) and then try again.","","","",""
"sending...","Sending...","","","",""
"try again","Try Again","","","",""
"email auth label","Allow <APPNAME> to connect to your email account","","","",""
"saving changes please wait","Saving changes... Please wait before refreshing or exiting","","","",""
"saving changes","Saving changes...","","","",""
"everything up dt","Everything is up to date","","","",""
"edit img on upload","Edit images on upload","","","",""
"get signatures","Get Signatures","","","",""
"other sig device","Other Signatures (My Device)","","","",""
"other sig text","Other Signatures (Text Link)","","","",""
"sent","Sent","","","",""
"text link to site contact","Text link to site contact","","","",""
"text sig link","Text Signature Link","","","",""
"no offline template","No Offline Template was found! Please go online to get it from server","","","",""
"select new insp","Select New Inspection","","","",""
"insp already on wo","(<COUNT> Already on WO)","","","",""
"insp already in wo","<COUNT> inspection(s) have already been completed for this <INSPTYPE> on (<DATE>). Would you like to enter another one?","","","",""
"no insp quests","No Inspection Questions were found.","","","",""
"travel mode","Travel Mode","","","",""
"driving","Driving","","","",""
"public transportation","Public Transportation","","","",""
"not completed","Not Completed","","","",""
"signed by","Signed By:","","","",""
"my inspections","My Signed Inspections","","","",""
"others inspections","Others Inspections","","","",""
"not signed","Not Signed","","","",""
"fill insp before ft","You must fill out and sign the <NAME> inspection before you can open the Field Ticket.","","","",""
"insp already signed","(<COUNT> Already Signed)","","","",""
"insp not signed","Please sign the inspection before download","","","",""
"insp not saved","Inspection is not saved, so you can not download.","","","",""
"no addl techs","No Additional Techs Found","","","",""
"no cust sigs","No Customer Signatures","","","",""
"no other sigs","No Other Signatures","","","",""
"add my notes","Add My Notes","","","",""
"not signed by","Not Signed By:","","","",""
"refresh","Refresh","","","",""
"answer insp quest","Please answer at least one insp. question before saving your notes","","","",""
"add insp","Add Inspection","","","",""
"can not delete signed insp","This inspection has been signed and cannot be deleted. Please contact your office to delete this inspection.","","","",""
"can not delete req insp","This inspection is required and can not be deleted. Please contact your office to delete this inspection.","","","",""
"insp sig cust","Customer (Site Contact, PM, .etc)","","","",""
"insp sig othr","Other (Safety Inspector, Crane Operator, .etc)","","","",""
"signed but missing cnt","Signed (<CNT> missing signatures)","","","",""
"delete insp","Are you sure you want to delete this inspection?","","","",""
"on site","On Site","","","",""
"time card approved entire ft","Time Card Approved (Entire FT)","","","",""
"time card approved","Time Card Approved","","","",""
"hold for approval","Hold For Approval","","","",""
"ready for invoicing","Ready For Invoicing","","","",""
"time cannot be changed after approved","Time cannot be changed after it is approved.","","","",""
"total price","Total Price","","","",""
"wo & ft flow","WO & FT Flow","","","",""
"search wo id job name cust job addr","WO ID, Job Name/Addr, Customer","","","",""
"open work order","Open Work Order","","","",""
"job not linked to quote","This job is not linked to a quote.","","","",""
"connecting to email provider","Connecting to your email provider and getting details ...","","","",""
"from","From","","","",""
"to","To","","","",""
"quick dates","Quick Dates","","","",""
"create invoices","Create Invoices","","","",""
"week to date","Week To Date","","","",""
"month to date","Month To Date","","","",""
"year to date","Year To Date","","","",""
"last two weeks","Last Two Weeks","","","",""
"last month","Last Month","","","",""
"last quarter","Last Quarter","","","",""
"last year","Last Year","","","",""
"last year to date","Last Year To Date","","","",""
"last pay week","Last Pay Week","","","",""
"anytime","Anytime","","","",""
"next week","Next Week","","","",""
"next two weeks","Next Two Weeks","","","",""
"next month","Next Month","","","",""
"next quarter","Next Quarter","","","",""
"next year","Next Year","","","",""
"next year to date","Next Year To Date","","","",""
"all customers","All Customers","","","",""
"(all)","<All>","","","",""
"pref delivery","Pref. Delivery","","","",""
"quoted","Quoted","","","",""
"quoted only","Quoted Only","","","",""
"non quoted only","Non-Quoted Only","","","",""
"aia","AIA","","","",""
"aia only","AIA Only","","","",""
"non aia only","Non-AIA Only","","","",""
"cc on file","CC On File","","","",""
"<do not change>","<Do Not Change>","","","",""
"also set job status to","Also Set Job Status To","","","",""
"flag inv sent to cust","Flag Invoices As Sent To Cust.","","","",""
"ft ready to invoice only","FT Ready To Invoice Only","","","",""
"ft pend approval only","FT Pending Approval Only","","","",""
"inv date of","Invoice Date Of","","","",""
"use last ft dt as inv dt","Use Last Field Ticket Dt as Invoice Date Per Job","","","",""
"ft qty of","FT Qty: <INV> (of <READY>)","","","",""
"sel ft tot","Sel. FT Tot.","","","",""
"show more","Show More","","","",""
"show less","Show Less","","","",""
"prev ft inv","Prev. FT Invoiced","","","",""
"wo qty","WO Qty","","","",""
"job completed","Job Completed","","","",""
"inv type","Inv. Type","","","",""
"avg on site rate","Avg. On Site Rate","","","",""
"avg per hr rate","Avg. Per Hr Rate","","","",""
"inv due on","Inv Due On","","","",""
"contract","Contract","","","",""
"wo qty remaining","WO Qty Remaining","","","",""
"confirm delete ft","Are you sure you want to delete FT: <FTICKID>?","","","",""
"ft has been deleted","Field Ticket: <FTICKID> has been deleted.","","","",""
"delete ft","Delete FT","","","",""
"delete wo","Delete WO","","","",""
"create invoice...","Create Invoice...","","","",""
"inv for","Invoices For","","","",""
"preview","Preview","","","",""
"hide preview","Hide Preview","","","",""
"must select at least 1 ft to inv","You must select at least one field ticket to invoice.","","","",""
"cust requires po and work missing req data really want to invoice","This customer requires a PO or Req. No. and 1 (or more) work orders are missing the required data. Are you sure you want to invoice this customer without the required data?","","","",""
"cust requires po and job missing req data really want to invoice","This customer requires a PO or Req. No. and this job is missing the required data. Are you sure you want to invoice this customer without the required data?","","","",""
"invoice below minimum really want to invoice","This invoice / job is priced belowed the lower(<LBLBRANCH>) minimum job charge. Are you sure you want to invoice this job below the minimum?","","","",""
"creating preview...","Creating Preview...","","","",""
"fin tran locked before","According to lower(<LBLBRANCH>) settings, financial transactions are not allowed on or before <DATE>.","","","",""
"ft has line item flagged taxable but no tax","FT <FTICKID> has <CNT> line item(s) flagged as taxable but no tax was charged. Is this correct?","","","",""
"mark fts ready to inv","Mark FT's Ready to Inv.","","","",""
"email - pdf","Email - PDF","","","",""
"email - link","Email - Link","","","",""
"email - link pdf","Email - Link & PDF","","","",""
"text - link","Text - Link","","","",""
"invoice only","Invoice Only","","","",""
"invoice and fts","Invoice & FT's","","","",""
"cnt invoices have been created","<CNT> invoice(s) have been created.","","","",""
"select fts","Select FT's","","","",""
"view fts","View FT's","","","",""
"open customer","Open Customer","","","",""
"send an email","Send An Email","","","",""
"email cc","Cc","","","",""
"subject","Subject","","","",""
"quick","Quick","","","",""
"email bcc","Bcc","","","",""
"needs repair","Needs \n Repair","","","",""
"engine hours","Engine Hours","","","",""
"body","Body","","","",""
"attach","Attach","","","",""
"remove","Remove","","","",""
"no attachment found","No attachment(s) found.","","","",""
"external file","External File","","","",""
"app quote","<APPABBR> Quote","","","",""
"app field ticket","<APPABBR> Field Ticket","","","",""
"app invoice","<APPABBR> Invoice","","","",""
"app invoice & fts","<APPABBR> Invoice & FTs","","","",""
"external photo","External Photo","","","",""
"must specify someone to send email to","You must specify someone to send the email to.","","","",""
"subject cannot be blank","Subject cannot be empty","","","",""
"body cannot be blank","Body cannot be empty","","","",""
"email sent","Email Sent!","","","",""
"quick email addresses","Quick Email Addresses","","","",""
"creating invoices...","Creating Invoices...","","","",""
"job not selected to invoice","Job is not selected to invoice.","","","",""
"this will release hold approval and flag ready to inv","This will release the approval hold for each FT and flag them 'Ready to invoice'.","","","",""
"continue","Continue","","","",""
"insp already done","<COUNT> <TYPE> inspection(s) have already been done for this <TYPE> today (<DATE>). Would you like to enter another one?","","","",""
"select ft to inv","Select Field Tickets To Invoice","","","",""
"yes/continue","Yes/Continue","","","",""
"create inv with date of","Create Invoices with an invoice date of: <DATE>","","","",""
"veh insp req on date","Vehicle Inspection required for <VEHNAME> on <DATE>","","","",""
"must perform pretrip of veh before view wo","You must perform an inspection of vehicle:\n\n<VEHNAME>\n\nbefore you can view the <TYPE>","","","",""
"must perform pretrip of veh before setting status","You must perform an inspection of vehicle:\n\n<VEHNAME>\n\nbefore you can enter time on the <TYPE>","","","",""
"enter inspection","Enter Inspection","","","",""
"addl insp desc","Additional Description (Optional)","","","",""
"invoice anyway","Invoice Anyway","","","",""
"must enter engine hours","You must enter the equipment's current Engine Hours","","","",""
"inspect","Inspect","","","",""
"search inv id job name cust job addr","Inv. No., Job Name/Addr, Customer","","","",""
"invoices","Invoices","","","",""
"find insponly inv with bal today","Find InspectionOnly Inv. w/ a balance","","","",""
"only inv with bal today","Only Inv. w/ a balance","","","",""
"sec settings no create inv preview only","Your security settings do not allow creating invoices. You will not be able to create the invoice.","","","",""
"find invoices","Find Invoices","","","",""
"link expired","This link is expired. Please ask for a new link.","","","",""
"link invalid","This link is invalid.\n\nPlease go back to the original link you were sent and try again.","","","",""
"find insp","Find Inspection","","","",""
"email or text...","Email or Text...","","","",""
"paid","Paid","","","",""
"balance","Balance","","","",""
"pretrip deprecated","Pretrip (Deprecated)","","","",""
"manage insp","Manage Inspections","","","",""
"insp def","Define Inspection","","","",""
"insp name","Inspection Name","","","",""
"categories","Categories","","","",""
"questions","Questions","","","",""
"available at","Available At","","","",""
"set disp order","Set Display \n Order","","","",""
"manage insp cat","Manage Inspection Category","","","",""
"answer type","Answer Type","","","",""
"must enter name","Must Enter Name","","","",""
"must pick ans type","Must Pick Answer Type","","","",""
"insp type","Insp. Type","","","",""
"no req insp found","No required inspections found","","","",""
"add users","Add Users","","","",""
"define tasks","Define Tasks","","","",""
"quick start","Quick Start","","","",""
"getting started instruct","Follow the steps below to get up and running with the basics of <APPNAME>.","","","",""
"getting started instruct 2","There's a lot more to <APPNAME> than the basics so don't forget to keep exploring after you've mastered these!","","","",""
"enter a customer","Enter A Customer","","","",""
"add a job","Add A Job","","","",""
"click add on the next screen to add a new","Click 	 + 	 on the next screen to add a new <ITEM>","","","",""
"explore the scheduler","Explore The Scheduler","","","",""
"check out help docs for more info","Check out the <span class="text-hyperlinkblue pointer">help docs</span> for more info.","","","",""
"manage insp quest","Manage Inspection Question","","","",""
"tech is req to answer","Tech Is Required To Answer","","","",""
"include notes section","Include Notes Section","","","",""
"set disp ordr","Set Display Order","","","",""
"disp ordr instructions","Drag Items Up/Down To Change Display Order","","","",""
"please select type to reorder","Please Select <TYPE> Type To Change Display Order","","","",""
"(none)","<NONE>","","","",""
"count","Count","","","",""
"copy insp def","Copy Inspection Definition","","","",""
"paste insp def","Paste Inspection Definition","","","",""
"del insp cat","Are you sure you want to delete this category?","","","",""
"del insp quest","Are you sure you want to delete this question?","","","",""
"select at least 1 branch","You must make this inspection available to at least 1 lower(<LBLBRANCH>) before you can save it.","","","",""
"must enter 1 cat and 1 quest","You must enter at least 1 category and 1 question before saving.","","","",""
"must enter insp name and type","You must enter inspection name and type.","","","",""
"no categories found","No Categories Found","","","",""
"no questions found","No Questions Found","","","",""
"avail at branches","Available At <LBLBRANCHES>","","","",""
"insp quest instructions","Define your inspection question as desired. For example, 'Question' could be your 'Rescue plan reviewed' and have a category of 'Job Preperation'.","","","",""
"insp cat instructions","Define your inspection category as desired. For example, 'Category' could be your 'Check Engine Oil' and have a answer type of 'Yes, No, N/A Boxes'","","","",""
"addl insp desc instruction","i.e. Fourth Floor, Scissor Lift, ...","","","",""
"not avail template mode","This action is not available in template mode","","","",""
"leave","Leave","","","",""
"stay","Stay","","","",""
"new email","New Email","","","",""
"manage plan","Manage Plan","","","",""
"plan","Plan","","","",""
"must be system admin to proceed","You must be a System Admin to perform this action","","","",""
"manage account","Manage Account","","","",""
"upgrade","Upgrade","","","",""
"current","Current","","","",""
"upgrade to","Upgrade To","","","",""
"already have all features","Nice! You already have access to all <APPNAME> features.","","","",""
"compare features","Compare Features","","","",""
"compare features 2","Compare\nFeatures","","","",""
"for pricing click on compare feature or give us a call","For pricing or questions, click on 'Compare Features' or give us a call","","","",""
"app #","8014786822","","","",""
"email for receipts","Email Receipts To","","","",""
"must enter email for receipts","You must enter an email for receipts.","","","",""
"confirm app upgrade","Awesome new features await. Please confirm:\n\nUpgrade from: <CURVERSION>\nTo: <NEWVERSION>?","","","",""
"send site contact","To Site Contacts - on Sched for <DATE>","","","",""
"confirm send site contact sched set","Send Text Message to Site Contacts for <OPTION> on <DATE>?","","","",""
"cannot send site contact message to all branches","You cannot send a message to site contacts for all lower(<LBLBRANCHES>). Please select a specific lower(<LBLBRANCH>) and then try again.","","","",""
"1 wo","1st WO Only","","","",""
"all wo","All WOs","","","",""
"upgrading account","Upgrading Account","","","",""
"account upgraded","Account upgraded successfully.\n\nNote: The app only checks for a new version type once a day. You may need to sign out and sign back in on other devices to see the new features.","","","",""
"manage users","Manage Users","","","",""
"to add users give us a call","To add more users to your account, give us a call","","","",""
"show quick start","Show Quick Start","","","",""
"must enter jsa","You must enter a JSA before you can open the Field Ticket","","","",""
"must enter atp","You must enter an Auth. to Proceed before you can open the Field Ticket","","","",""
"must enter fsp","You must review and sign the Safety Plan before you can open the Field Ticket","","","",""
"branch settings require lunch break","Company settings require a lunch break","","","",""
"payment history","Payment History","","","",""
"pmt","Pmt","","","",""
"amt","Amt.","","","",""
"email receipt","Email Receipt","","","",""
"view receipt","View Receipt","","","",""
"receipt","Receipt","","","",""
"multiple","Multiple","","","",""
"barcode launching camera","Turning on camera, please wait...","","","",""
"camera not supported","Not available because your device does not have camera support.","","","",""
"allow camera access","In order to access this screen, you must allow the camera to be used.  Please click on the "Allow" button in the screen.","","","",""
"camera permission denied","Permission to use camera has been denied. Please allow the camera to be used in order to access this feature.","","","",""
"barcode is not supported","* Linear Code 93 not supported","","","",""
"barcode instructions","Please make sure to check for serial number in case","","","",""
"barcode reader","Barcode Reader","","","",""
"media not supported","Video streaming (Media Stream API) is not supported","","","",""
"barcode shadow may affect","* Shadows may affect barcode scanning","","","",""
"tech demo mode","Tech View Demo Mode","","","",""
"demo","Demo","","","",""
"time cards","Time Cards","","","",""
"time cards and payroll","Time Cards & Payroll","","","",""
"tech dtl & sum","Technician-Detailed & Summary","","","",""
"review tech time","Review Tech Time","","","",""
"job branch","Job <LBLBRANCH>","","","",""
"show time in decimals","Show Time In Decimals","","","",""
"show unpaid only","Show Unpaid Only","","","",""
"show nonpay records","Show Non-Pay Records","","","",""
"show clock in in","Show Clock In In","","","",""
"user dept type","User Dept Type","","","",""
"office / sales","Office / Sales","","","",""
"technician / mechanic","Technician / Mechanic","","","",""
"sales","Sales","","","",""
"mechanic","Mechanic","","","",""
"in field","In Field","","","",""
"connecting to salesforce","Connecting to Salesforce","","","",""
"connect to salesforce","Connect to Salesforce","","","",""
"salesforce auth success","You have successfully connected your Salesforce account. You can now go back to your <APPNAME> app.","","","",""
"sales force auth fail","Could not authenticate with Salesforce. Reason: <ERRORMSG>","","","",""
"str","Str","","","",""
"ot","OT","","","",""
"dbl","Dbl","","","",""
"travel 1","Travel 1","","","",""
"travel 2","Travel 2","","","",""
"tot dur","Tot Dur","","","",""
"str tm","Str Tm","","","",""
"dbl tm","Dbl Tm","","","",""
"unpaid break","Unpaid Break","","","",""
"cert","Cert.","","","",""
"daily str tot","Dly Str Tot","","","",""
"trav 1","Trav 1","","","",""
"trav 2","Trav 2","","","",""
"totals","Totals","","","",""
"break","Break","","","",""
"auto correct ot...","Auto Correct OT...","","","",""
"export","Export","","","",""
"warnings","Warnings","","","",""
"all","All","","","",""
"none","None","","","",""
"all completed jobs","All Completed Jobs","","","",""
"move time","Move Time","","","",""
"map","Map","","","",""
"add clock in","Add Clock In","","","",""
"approve time","Approve Time","","","",""
"time already approved","Time already approved.","","","",""
"copy time from lead tech","Copy Time From Lead Tech","","","",""
"copy time from lead","Copy Time From Lead","","","",""
"cannot add workers once time card is approved","You cannot add add'l workers once the time card has been approved.","","","",""
"viewfttm warnings desc","FT No (i.e. 0000012345 or Clock In): Time has not been approved\n\nStr Total Column (i.e. 8.50): Did not pass <LBLBRANCH> overtime rules\n<span class="margin-left-30">NOTE: PTO time is excluded from OT rules</span>\n\nStart Tm - End Tm (i.e. 7:00AM-12:00PM): Overlapping times found","","","",""
"no record highlighted","No record highlighted","","","",""
"cannot modify a summary record","You cannot modify a summary record","","","",""
"all systems up","All Systems Operational","","","",""
"data servers","Data Servers","","","",""
"app servers","App Servers","","","",""
"other servers","Other Servers","","","",""
"partial outage","Partial Outage","","","",""
"as of","As Of:","","","",""
"check all servers","Check All Servers","","","",""
"manage clock in","Manage Clock In/Out Data","","","",""
"paid time off","Paid Time Off","","","",""
"at","At","","","",""
"duration","Duration","","","",""
"email auth success","Successfully Authenticated with <TYPE>","","","",""
"unable to retrieve email address","But we were not able to retrieve the email address you authenticated with (yup, seems odd but we can't control your email provider ;) )\n<b>Please manually enter the <em> Email Address</em> you used to authenticate in <APPNAME> under user preferences</b>","","","",""
"email auth success submsg","You can now go back to your <APPNAME> app and send emails using your account","","","",""
"email auth fail","Failed Authenticating with <TYPE>","","","",""
"invalid email type","Invalid email type passed / not supported. Please contact <APPNAME> to add support for a new email provider.","","","",""
"email not approved","You have not approved connection to your <TYPE> account.","","","",""
"time card can only be approved with times","Time card can only be approved after times are entered.","","","",""
"must specify a user","You must specify a user.","","","",""
"unusal amount of time are you sure","This is an unusual amount of time. Are you sure this is correct?","","","",""
"vacation","Vacation","","","",""
"in date/time must be before out date/time","In date/time must be before Out date/time","","","",""
"vacation is normally pto flag as pto","Normally vacation time should be flagged as PTO (Paid Time Off). Would you like to flag this vacation time as PTO now?","","","",""
"can only delete clock in from here","You can only delete clock in/out records from here.","","","",""
"permanently delete clock in","This will permanently delete the highlighted time clock record. Are you sure?","","","",""
"send email through","Send Emails Through","","","",""
"send test email","Send Test \n Email","","","",""
"email account","Email Login.Acct*","","","",""
"email password","Email Password","","","",""
"smtp email hint","* Must be able to authenticate with the <LBLBRANCH> Email SMTP server","","","",""
"gmail office365 hint","* Authenticate with <TYPE> in browser","","","",""
"cenpoint email hint","* Emails come from messages@cenpoint.com, Replies go to your email","","","",""
"reset cred","Reset \n Credentials","","","",""
