lbl,dflt,la
"pay amount cannot be greater than pre-auth options","El importe introducido no puede ser superior al preautorizado en la tarjeta.\n\nImporte de la preautorización: <PAAMT>\nImporte de su pago: <PMTAMT>\nDiferencia: <DIFF>\n\nDebe cancelar la preautorización y volver a introducir los datos de la tarjeta para cargar el importe superior O disminuir el pago para que coincida con el importe preautorizado.",""
"cancel cc preauth","Cancelar Preautor. TC.",""
"change payment amt","Cambiar imp. de pago",""
"abort","Abortar","Cancelar"
"confirm cancel cc preauth","¿Está seguro de que desea cancelar la preautorización de <AMT> para el trabajo: <JOB>? \n\nNOTA: Esto no se puede deshacer.",""
"cc preauth already used or cancel","La preautorización ya ha sido utilizada, cancelada o ha caducado.","La preautorización ya ha sido utilizada, cancelada o ha vencido."
"preauth avail to use","Puede utilizar una TC preautorizada. Selecciónela en 'Forma de pago'.",""
"cust is blacklisted","Cliente: ¡<CUST> está en la lista negra!\n\nNo puede crear/editar un Presupuesto, Trabajo u Orden de trabajo mientras la cuenta esté en la lista negra.",""
"cust is frozen","Cliente: <CUST> ¡está congelado!\n\nPuede crear un Presupuesto o Trabajo para este cliente, pero no puede crear una Orden de Trabajo (no puede enviar a nadie a realizar un trabajo) mientras la cuenta esté congelada.\n\nCongelado por: <FROZENBY>\nMotivo: <REASON>",""
"map route","Ruta del mapa",""
"no wos found to map","Nada que cartografiar.",""
"max map limit only mapping x","Se ha superado el máximo de puntos de mapeo (<CNT>). Sólo se mapea el primer <MAX>.",""
"adjustment reasons","Motivos del ajuste",""
"filter adj reas","Filtrar ajustes. Motivos",""
"delete adj reas","Borrar motivo del ajuste: <NAME>?","Eliminar motivo del ajuste: <NAME>?"
"adjust reason","Ajuste. Motivo",""
"filter time clock cats","Filtrar cat. de chequeo",""
"clock in out cats","Categorías de entrada/salida",""
"delete time cat","¿Borrar categoría de chequeo: <NAME>?","¿Eliminar categoría de chequeo: <NAME>?"
"clock in cat","Categoría de entrada/salida",""
"category name","Nombre de la categoría",""
"hide on mobile app","Ocultar en aplicación móvil",""
"errand category","Categoría de encargos",""
"collection companies","Empresas de cobro",""
"filter collection companies","Filtrar empresas de cobro",""
"delete collection company","¿Borrar empresa de cobro: <NAME>?","¿Eliminar empresa de cobro: <NAME>?"
"collection company","Empresa de cobro",""
"download large file","<FILE> es anormalmente grande (<SIZE>). ¿Está seguro de que desea descargarlo?",""
"free version","Versión gratuita",""
"users","Usuarios",""
"filter users","Filtrar usuarios",""
"full logins","Oficina/Inicios de sesión completos",""
"login full","Oficina/Completo (incluye aplicación móvil)",""
"login full 2","Oficina/Completo",""
"limited logins","Técnico/ Conexiones limitadas",""
"login limited","Técnico/Limitado",""
"login limited enhanced","Técnico/Limitado (Mejorado)",""
"delete user","¿Borrar usuario: <NAME>?","¿Eliminar usuario: <NAME>?"
"login name","Nombre de usuario",""
"confirm password","Confirmar contraseña",""
"passwords do not match","Las contraseñas no coinciden",""
"new password","Nueva contraseña",""
"password updated","Contraseña actualizada",""
"force logout","Forzar cierre de sesión",""
"of all mobile devices","de todos los dispositivos móviles",""
"allow login office","Permitir inicio de sesión (Oficina/Completo)",""
"allow login tech","Permitir inicio de sesión (Técnico/Limitado)",""
"license","Licencia",""
"licensing","Licencias",""
"must enter login name","Debe introducir un nombre de acceso para este usuario.",""
"must enter first name","Debe introducir un nombre para este usuario.",""
"country","País",""
"time zone","Zona horaria",""
"phone no layout","Número de teléfono. Disposición",""
"date format","Formato de fecha",""
"locale","Local",""
"display name cannot be blank","El nombre para mostrar no puede estar en blanco.",""
"printed name cannot be blank","El nombre impreso no puede estar en blanco.",""
"mailing addr cannot be blank","La dirección postal no puede estar en blanco.",""
"physical addr cannot be blank","La dirección física no puede estar en blanco.",""
"corp office must be active","La oficina de la empresa debe estar activa.",""
"must specify default inv type","Debe especificar un tipo de factura por defecto",""
"lic exp","Expiración de la licencia","Vencimiento de la licencia"
"lic type","Tipo de licencia",""
"mode","Modo",""
"loc id","Ubicación ID",""
"code 1","Código 1",""
"lic details","Detalles de la licencia",""
"in use","En uso",""
"allowed","Permitido",""
"full users","Usuarios completos",""
"tech users","Usuarios técnicos",""
"full","Completos",""
"retrieve new license","Recuperar nueva licencia",""
"branch name must be set before lic","El nombre de la <LBLBRANCH> debe fijarse antes de conceder la licencia.","El nombre de la <LBLBRANCH> se debe fijar antes de conceder la licencia."
"mailing addr must be set before lic","La dirección postal debe fijarse antes de conceder la licencia.","La dirección postal se debe fijar antes de conceder la licencia."
"physical addr must be set before lic","La dirección física debe fijarse antes de conceder la licencia.","La dirección física se debe fijar antes de conceder la licencia."
"physical name must be set before lic","El nombre físico debe establecerse antes de conceder la licencia.","El nombre físico se debe establecer antes de conceder la licencia."
"changing value will blow out license","Cambiar este valor requerirá una licencia actualizada. ¿Está seguro de que desea cambiar este campo?",""
"yes/change","Sí/Cambiar",""
"lic expired","Lic. caducada","Lic. Vencida"
"lic expired contact to remove message","Su suscripción de la licencia ha caducado. Póngase en contacto con <APPCOMPANY> para renovar su suscripción y eliminar este mensaje.",""
"lic expired may be card admin","Esto puede ser causado por una tarjeta caducada/no válida en el archivo. Por favor, haga clic en 'Gestionar tarjeta' para introducir una nueva tarjeta.","Esto puede deberse a una tarjeta vencida/no válida en el archivo. Haga clic en 'Gestionar tarjeta' para ingresar una nueva tarjeta."
"lic expired may be card non admin","Esto puede ser causado por una tarjeta caducada/no válida en el archivo. Por favor, haga que alguien con derechos de administrador en <APPNAME> introduzca una nueva tarjeta.","Esto puede deberse a una tarjeta vencida/no válida en el archivo. Solicite a alguien con derechos de administrador en <APPNAME> que ingrese una nueva tarjeta."
"contact appname","Ponerse en contacto \ncon <APPNAME>",""
"filter branches","Filtrar <LBLBRANCHES>",""
"filter tasks","Filtrar tareas",""
"task name","Nombre de la tarea",""
"task abbr","Abrev. de la tarea",""
"task questions","Preguntas sobre la tarea",""
"question no","Pregunta <NO>",""
"question","Pregunta",""
"answer source","Fuente de la respuesta",""
"entered at time of order","Introducido en el momento del pedido",""
"list","Lista",""
"hide on quote","Ocultar en la cotización",""
"hide on invoice","Ocultar en la factura",""
"create new list","Crear nueva lista",""
"select from existing lists","Seleccionar de las listas existentes",""
"view selected list","Ver la lista seleccionada",""
"clear field","Despejar el campo",""
"move up","Subir",""
"move down","Bajar",""
"task qty is auto included","La 'Cantidad' (Cant.) se incluye automáticamente con cada tarea y normalmente no debería ser una de sus preguntas",""
"filter lists","Filtrar listas",""
"list name","Nombre de la lista",""
"list details","Detalles de la lista",""
"item name","Nombre del artículo",""
"display order","Mostrar orden",""
"must enter a list name","Debe introducir un nombre de lista",""
"task lists","Listas de tareas",""
"delete list","¿Borrar lista: <NAME>?","¿Eliminar lista: <NAME>?"
"task available at","La tarea está disponible en",""
"copy paste","Copiar/Pegar...",""
"copy task options","Copiar opciones de tareas",""
"paste task options","Pegar opciones de tareas",""
"task copied","Tarea copiada",""
"upgarde to lite to unlock feature","Actualice a la versión Ligera para desbloquear esta función.",""
"upgrade to full to unlock feature","Actualice a la versión Completa para desbloquear esta función.",""
"task options","Opciones de tareas",""
"user address","Dirección del usuario",""
"must enter an email","Debe introducir un correo electrónico para este usuario",""
"required field","Campo obligatorio",""
"required","Obligatorio",""
"must set timezone","Debe ajustarse la zona horaria.",""
"are you sure you want to delete the wo","¿Está seguro de que desea eliminar esta orden de trabajo?\n NOTA: ¡Esto no se puede deshacer!",""
"receive statements","Recibir declaraciones","Recibir estados de cuenta"
"birthday","Cumpleaños",""
"anniversary","Aniversario",""
"shirt size","Talla de camisa",""
"day","Día",""
"partly entered bday discard","Sólo ha introducido parcialmente la fecha de cumpleaños. ¿Desea terminar de introducir el cumpleaños o descartar lo que ha introducido?",""
"enter missing info","Introducir la información que falta",""
"discard bday","Descartar cumpl.",""
"partly entered anniv discard","Sólo ha introducido parcialmente la fecha de aniversario. ¿Desea terminar de introducir el aniversario o descartar lo que ha introducido?",""
"discard anniv","Descartar aniv.",""
"1 time conv","Conversión única",""
"import from excel","Importar desde Excel",""
"instructions","Instrucciones",""
"import xls cust instruct","Esto extraerá una lista de clientes y contactos de una hoja de cálculo .xls y le permitirá importarlos a <APPNAME>.\nPor favor, seleccione el archivo .xls a continuación y especifique qué columnas tienen qué información","Esto extraerá una lista de clientes y contactos de una hoja de cálculo .xls y le permitirá importarlos a <APPNAME>.\nSeleccione el archivo .xls a continuación y especifique qué columnas tienen qué información"
"spreadsheet options","Opciones de hoja de cálculo",""
"xls file","Archivo XLS",""
"sheet name","Nombre de la hoja",""
"start on row","Comenzar en fila",""
"map cust cols","Por favor, asigne las columnas de clientes en el archivo","Asigne las columnas de clientes en el archivo"
"old cust id","Antiguo cliente ID",""
"p addr1","Dirección Física 1",""
"m addr1","Dirección Postal 1",""
"credit limit","Límite de crédito",""
"cust name","Nombre del cliente",""
"fax","Fax",""
"credit hold","Retención de crédito",""
"last dt","Última fecha",""
"last dt exp","Las filas del archivo .csv con una "Última fecha" de hace más de 5 años no se importarán",""
"active flag","Bandera activa",""
"map cont cols","Por favor, asigne las columnas de contacto en el archivo","Asigne las columnas de contacto en el archivo"
"parse name","Analizar nombre",""
"full name","Nombre completo",""
"home","Inicio",""
"title","Título",""
"import cust from csv","Importar clientes desde un archivo .csv",""
"csv file","Archivo CSV",""
"import csv cust instruct","Esto extraerá una lista de clientes y contactos de un archivo .csv y le permitirá importarlos a <APPNAME>.\nPor favor, seleccione el archivo .xls a continuación y especifique qué columnas tienen qué información","Esto extraerá una lista de clientes y contactos de un archivo .csv y le permitirá importarlos a <APPNAME>.\nSeleccione el archivo .xls a continuación y especifique qué columnas tienen qué información"
"file options","Opciones del archivo",""
"map cust order","Por favor, díganos en qué orden aparece la información, es decir,\nsi su archivo tiene el aspecto siguiente "Nombre de la empresa, 123 Main St, Scott, Rindlisbacher"\nEntonces pondría:\nNombre del cliente = A, Dirección física = B, Nombre del contacto = C, Apellido del contacto = D\nEsto se hace fácilmente al ver el archivo CSV en excel","Díganos en qué orden aparece la información, es decir,\nsi su archivo tiene el aspecto siguiente "Nombre de la empresa, 123 Main St, Scott, Rindlisbacher"\nEntonces pondría:\nNombre del cliente = A, Dirección física = B, Nombre del contacto = C, Apellido del contacto = D\nEsto se hace fácilmente al ver el archivo CSV en excel"
"map cont order","Por favor, díganos en qué orden aparece la información (es decir, nombre = 3, apellido = 4)","Díganos en qué orden aparece la información (es decir, nombre = 3, apellido = 4)"
"file contents line 1","1ª línea del archivo",""
"show line 1 file","Mostrar línea 1 del archivo",""
"step 1","Paso 1",""
"step 2","Paso 2",""
"step 3","Paso 3",""
"step 4","Paso 4",""
"<APPNAME> options","Opciones <APPNAME>",""
"keep app cust and append","Mantenga los clientes <APPNAME> existentes, sólo añada clientes desde el archivo","Mantenga los clientes <APPNAME> existentes, sólo agregue clientes desde el archivo"
"delete all app cust","Borre TODOS los clientes <APPNAME> de la lower(<LBLBRANCH>) seleccionada y remplácelos con los clientes del archivo","Elimine TODOS los clientes <APPNAME> de la lower(<LBLBRANCH>) seleccionada y remplácelos con los clientes del archivo"
"default terms","Términos por defecto",""
"must map all req columns","Debe asignar/especificar el orden para todos los campos obligatorios.",""
"import","Importar",""
"must select a .csv file","Debe seleccionar un archivo .csv.",""
"specify start row","Debe especificar la primera fila a importar.",""
"are you sure delete all app cust","¿Está seguro de que desea Borrar TODOS los clientes <APPNAME> de la lower(<LBLBRANCH>) seleccionada y remplazarlos con los clientes del archivo?","¿Está seguro de que desea Borrar TODOS los clientes <APPNAME> de la lower(<LBLBRANCH>) seleccionada y reemplazarlos por los clientes del archivo?"
"yes continue","Sí, continuar",""
"no cancel","No, cancelar",""
"imported x custs","Importados con éxito <CNT> clientes.",""
"parse addr","Analizar dirección",""
"p addr cols","Colum. Direc. F. (es decir, "A,B,C")",""
"m addr cols","Colum. Direc. P. (es decir, "A,B,C")",""
"importing cust please wait","Importando clientes, por favor espere","Importando clientes, espere"
"scroll right to see more fields","Desplácese a la derecha para ver más campos",""
"note this could take a bit","NOTA: Esto podría tardar un poco...",""
"job contract does not match linked job contract","La bandera de contrato de este trabajo no coincide con la bandera de contrato de los trabajos vinculados (uno es contrato, el otro no).\n La bandera de contrato de los trabajos vinculados debería coincidir.\n\n¿Desea solucionar esta discrepancia y hacer que ambos tengan la bandera de 'Contrato'?",""
"sign up","Regístrese",""
"create app account","Cree su cuenta <APPNAME>",""
"company info","Información de la empresa",""
"company name","Nombre de la empresa",""
"new user info","Información del nuevo usuario",""
"sign up first user account note","NOTA: Una vez creada su cuenta, iniciará sesión utilizando este usuario. Una vez que haya iniciado sesión, podrá crear más usuarios.",""
"physical addr same as mail","La dirección física es la misma que la postal",""
"physical addr1","Dirección física 1",""
"mailing addr1","Dirección postal 1",""
"app account options","Opciones de productos <APPNAME>",""
"<APPNAME> product","Producto <APPNAME>",""
"must select <APPNAME> product","Debe seleccionar un producto <APPNAME>",""
"current <APPNAME> product","Producto <APPNAME> actual",""
"upgrade at any time","Puede actualizar en cualquier momento",""
"custcode requirements","El código de empresa debe tener entre 4 y 16 caracteres, empezar por una letra y tener sólo letras / números (sin espacios)",""
"creating account please wait","Creando cuenta, por favor espere","Creando cuenta, espere"
"sign up button","Crear una cuenta",""
"create account","Crear una cuenta",""
"cust code must be unique","Los códigos de empresa deben ser únicos.\n\n La sociedad que ha introducido ya está siendo utilizada por otro cliente de <APPNAME>. Por favor, introduzca un código de empresa único.","Los códigos de empresa deben ser únicos.\n\nLa sociedad que ha introducido ya está siendo utilizada por otro cliente de <APPNAME>. Introduzca un código de empresa único."
"suggest","Sugerir",""
"suggested custcode","Sociedad propuesta: <CUSTCODE>",""
"use suggested custcode","Utilizar "<CUSTCODE>"",""
"could not suggest cust code","No se ha introducido suficiente información. No se pudo determinar automáticamente un código de empresa para usar <span style='font-size:20px'>&#128533;</span>",""
"dont have an account","¿No tiene una cuenta?",""
"have an account","¿Tiene una cuenta?",""
"not allowed","No permitido",""
"login","Inicio de sesión",""
"must enter all req fields","Debe introducir todos los campos obligatorios antes de continuar.",""
"app account is setup","¡Felicidades! Su cuenta <APPNAME> ya está creada y lista para funcionar.\nDebería recibir un correo electrónico con su código de empresa y nombre de usuario para sus registros.\n\nNecesitará esta información para iniciar sesión:\nCódigo de la empresa: <CUSTCODE>\nNombre de usuario: <USERNAME>\nContraseña: [La que usted haya establecido :) ]\n\nHaga clic en <a href="https://help.cenpoint.com/docs" target="_blank">aquí</a> para ver los documentos de ayuda para empezar.",""
"verify","Verificar",""
"verify code","Código de verificación",""
"must enter an email before verify","Debe introducir una dirección de correo electrónico para verificar",""
"check email verify code","Por favor, compruebe su correo electrónico para el código de verificación","Compruebe su correo electrónico para el código de verificación"
"sign up step 1","Paso 1 - Verifique su correo electrónico",""
"sign up step 2","Paso 2 - Crear una cuenta",""
"must verify email before account","Por favor, verifique su correo electrónico antes de crear una cuenta.","Verifique su correo electrónico antes de crear una cuenta."
"must enter verification code","Por favor, introduzca el código de verificación que se le envió por correo electrónico.","Introduzca el código de verificación que se le envió por correo electrónico."
"incorrect verification code","El código de verificación que ha introducido es incorrecto.",""
"too many incorrect attempts verify again","Ha introducido un código de verificación incorrecto demasiadas veces. Vuelva a hacer clic en "Verificar" para que le enviemos otro código.",""
"verified email has changed","Parece que ha cambiado la dirección de correo electrónico verificada. Por favor, verifique esta nueva dirección de correo electrónico.","Parece que ha cambiado la dirección de correo electrónico verificada. Verifique esta nueva dirección de correo electrónico."
"cannot deactive user signed in as","No puede desactivar el usuario con el que ha iniciado sesión.",""
"does not want texts","no quiere textos",""
"must agree to tofu","Debe aceptar las Condiciones de uso y el Acuerdo de licencia antes de continuar.","Debe aceptar las Cláusulas de Uso y el Acuerdo de Licencia antes de continuar."
"validate","Validar",""
"enter password","Introduzca la contraseña",""
"card to keep on file","Tarjeta para archivar",""
"texting phone number","# de teléfono para mensajes de texto",""
"area code","Código de área",""
"must enter an address before you can find a texting number","Debe introducir una dirección válida antes de poder buscar un número de teléfono para mensajes de texto.",""
"must enter an area code to search for","Debe introducir un código de área para buscar",""
"no numbers available for area code","No hay números disponibles para el código de área: <AREACODE>",""
"select texting phone number","Seleccione el # de teléfono para mensajes de texto",""
"you have not chosen a texting phone no","No ha seleccionado un número de teléfono para mensajes de texto.\n\n<APPNAME> utiliza el número de teléfono para mensajes de texto, para realizar una serie de tareas, entre las que se incluyen:\n&bull; Confirmar la programación para el día siguiente con sus clientes &bull\n; Enviar mensajes de texto a sus clientes avisándoles cuando esté en camino\n&bull; Notificar a sus clientes del trabajo completado y obtener una firma en el formulario\n&bull; Junto con el enlace de firma, también puede cobrar dinero (TC) de los trabajos contra reembolso\n&bull; Etc.\n\nPor favor, seleccione un número de teléfono para mensajes de texto para poder utilizar varias características clave de <APPNAME>","No ha seleccionado un número de teléfono para mensajes de texto.\n\n<APPNAME> utiliza el número de teléfono para mensajes de texto, para realizar una serie de tareas, entre las que se incluyen:\n&bull; Confirmar la programación para el día siguiente con sus clientes &bull\n; Enviar mensajes de texto a sus clientes avisándoles cuando esté en camino\n&bull; Notificar a sus clientes del trabajo completado y obtener una firma en el formulario\n&bull; Junto con el enlace de firma, también puede cobrar dinero (TC) de los trabajos contra reembolso\n&bull; Etc.\n\nSeleccione un número de teléfono para mensajes de texto para poder utilizar varias características clave de <APPNAME>."
"skip for now","Saltar por ahora","Omitir por ahora"
"pro code","Código Pro",""
"must enter valid pro code","Debe introducir un Código Pro válido para suscribirse a la Versión Pro o ponerse en contacto con Ventas <APPNAME>.",""
"invalid pro code","Código Pro no válido",""
"download desktop","Instalar cliente de escritorio",""
"portal sign in","Inicio de sesión en el portal",""
"manage photo","Opciones fotográficas",""
"print with ft","Imprimir con forma","Imprimir con formulario"
"print with qt","Imprimir con cotización",""
"ocip/ccip","OCIP/CCIP",""
"verifying cc","Verificación de TC",""
"create cont from cust","<Crear contacto del cliente>",""
"hide task on qt","Ocultar tarea en la cotización",""
"can only hide items if price is 0","Sólo puede ocultar artículos si tienen un precio cero (0,00).",""
"shop","Tienda",""
"job site","Sitio de trabajo",""
"other","Otros",""
"previous job","Trabajo anterior",""
"credit avail","Crédito dispon.",""
"credit available","Crédito disponible",""
"add wo","Añadir OT",""
"not authorized did not create","No está autorizado a editar este <ITEM> ya que usted no lo creó.",""
"force offline mode","Forzar el modo sin conexión",""
"offline","Sin conexión",""
"force offline off but still offline no service","Forzar modo sin conexión está desactivado. Sin embargo, parece que no tiene servicio. Le mantendremos en modo sin conexión hasta que detectemos que otra vez tiene servicio.",""
"open ft","Forma abierta","Formulario abierta"
"unsubmitted ft must submit before proceed","Tiene <CNT> Forma(s) sin presentar de días anteriores.\n Por favor, abra Forma: <FTICKID> de: <DT> y finalice su papeleo, y luego envíe la forma","Tiene <CNT> Formulario(s) sin presentar de días anteriores.\nAbra Formulario: <FTICKID> de: <DT> y finalice su trámite y luego envíe el formulario"
"job id","ID del trabajo",""
"ft cannot be over 24 hrs create 2nd ft","Las formas no pueden exceder las 24 hrs. Si se completaron más de 24 horas de trabajo, por favor cree una segunda forma.","Los formularios no pueden exceder las 24 hrs. Si se completaron más de 24 horas de trabajo, cree un segundo formulario."
"ft cannot be over 24 hrs contact office","Las formas no pueden exceder las 24 hrs. Póngase en contacto con la oficina para que completen su tarjeta de tiempo.","Los formularios no pueden exceder las 24 hrs. Póngase en contacto con la oficina para que completen su tarjeta de tiempo."
"uploaded by","Subido por",""
"search desc notes file","Descrip., notas, nombre del archivo, subido por",""
"daily summary","Resumen diario",""
"schedule summary","Horario. Resumen",""
"sched tasks summary","Horario. Resumen de tareas",""
"load my vehicle","Cargar mi vehículo",""
"status log should normally be filled out on the tech view","Normalmente el registro de estado debe completarse desde la vista del técnico y sólo visualizarse aquí.","Normalmente el registro de estado se debe completar desde la vista del técnico y sólo visualizarse aquí."
"on hand only","Sólo disponible",""
"","",""
"customers-near-me","Clientes cerca de mí",""
"radius-mi","Millas",""
"radius-km","Kilómetros",""
"results","Resultados",""
"navigate","Navegar",""
"navigate-to","Navegar hasta",""
"forgot-password","Contraseña olvidada","Olvido de contraseña"
"enter-new-password","Introducir nueva contraseña",""
"re-enter-new-password","Vuelva a introducir la nueva contraseña",""
"new-password-low-hint","Al menos 4 caracteres",""
"new-password-high-hint","Máx. 24 caracteres",""
"pwd-do-not-match","Las contraseñas no coinciden",""
"forgot-password-instr","Especifique a continuación la información del usuario",""
"reset-options","Restablecer opciones",""
"reset-pwd","Restablecer contraseña",""
"link-is-expired-or-invalid","Este enlace ha caducado o no es válido. Por favor, obtenga un nuevo enlace de restablecimiento e inténtelo de nuevo","Este enlace ha vencido o no es válido. Obtenga un nuevo enlace de restablecimiento e inténtelo de nuevo"
"invalid-forgot-pwd","Nombre de empresa o de usuario no válidos",""
"reset-link-success","Se le ha enviado un enlace con instrucciones para restablecer su contraseña. Por favor, compruebe su correo electrónico o teléfono.","Se le ha enviado un enlace con instrucciones para restablecer su contraseña. Compruebe su correo electrónico o teléfono."
"reset-success","Su contraseña ha sido restablecida con éxito. Por favor, inicie sesión con su nueva contraseña.","Su contraseña ha sido restablecida con éxito. Inicie sesión con su nueva contraseña."
"reset-link-instr","Por favor, seleccione dónde desea enviar el enlace para restablecer su contraseña","Seleccione dónde desea enviar el enlace para restablecer su contraseña"
"reset-page-instr","¿Hola <NAME>?",""
"view-docs","Ver documentos",""
"docs-cnt","Recuento de documentos",""
"upload-large-file","No hemos podido cargar su archivo <FILE> porque es demasiado grande. El tamaño máximo del archivo es <MAX_FILE_SIZE>MB",""
"edit-photo","Editar foto",""
"save-copy","Guardar como copia",""
"edit-image","Editar imagen",""
"confirm cancel pic take","¿Desea cancelar la edición y seguir guardando esta foto o cancelar la carga de esta foto?",""
"save pic","Guardar foto",""
"photo view instruct","Cuando vea una foto en pantalla completa, haga clic con el botón derecho (mantenga pulsado en dispositivos móviles) para ver rápidamente las opciones de esa foto (por ejemplo, introducir notas / editar foto).",""
"send tech sched set","A los técnicos - Horario. Programado para <DATE>",""
"send message","Enviar mensaje",""
"confirm send tech sched set text","¿Enviar mensaje de texto a todos los técnicos de la lower(<LBLBRANCH>) <BRANCH> y marcar las OT como enviadas al técnico?",""
"messages sent","Mensaje(s) enviado(s)",""
"cannot send tech message to all branches","No puede enviar un mensaje a los técnicos de todas las <LBLBRANCHES>. Por favor, seleccione una lower(<LBLBRANCH>) específica y vuelva a intentarlo.","No puede enviar un mensaje a los técnicos de todas las <LBLBRANCHES>. Seleccione una lower(<LBLBRANCH>) específica y vuelva a intentarlo."
"sending...","Enviando...",""
"try again","Inténtelo de nuevo",""
"email auth label","Permita que <APPNAME> se conecte a su cuenta de correo electrónico",""
"saving changes please wait","Guardando cambios... Por favor, espere antes de actualizar o salir","Guardando cambios... Espere antes de actualizar o salir"
"saving changes","Guardando cambios...",""
"everything up dt","Todo está al día",""
"edit img on upload","Editar imágenes al cargarlas",""
"get signatures","Obtener firmas",""
"other sig device","Otras firmas (mi dispositivo)",""
"other sig text","Otras firmas (enlace de texto)",""
"sent","Enviado",""
"text link to site contact","Enlace de texto al sitio del contacto",""
"text sig link","Enlace de firma de texto",""
"no offline template","¡No se ha encontrado ninguna plantilla sin conexión! Por favor, conéctese para obtenerla del servidor","¡No se ha encontrado ninguna plantilla sin conexión! Conéctese para obtenerla del servidor"
"select new insp","Seleccionar nueva inspección",""
"insp already on wo","(<COUNT> Ya en OT)",""
"insp already in wo","<COUNT> inspección(es) ya se han completado para este <INSPTYPE> en (<DATE>). ¿Desea introducir otra?",""
"no insp quests","No se han encontrado preguntas de inspección.",""
"travel mode","Modo de viaje",""
"driving","Conducir",""
"public transportation","Transporte público",""
"not completed","No completado",""
"signed by","Firmado por:",""
"my inspections","Mis inspecciones firmadas",""
"others inspections","Otras inspecciones",""
"not signed","No firmado",""
"fill insp before ft","Debe completar y firmar la inspección de <NAME> antes de poder abrir la forma.","Debe completar y firmar la inspección de <NAME> antes de poder abrir el formulario."
"insp already signed","(<COUNT> Ya firmado)",""
"insp not signed","Por favor, firme la inspección antes de descargarla","Firme la inspección antes de descargarla"
"insp not saved","La inspección no está guardada, por lo que no se puede descargar.",""
"no addl techs","No se han encontrado técnicos adicionales",""
"no cust sigs","Sin firmas de clientes",""
"no other sigs","Ninguna otra firma",""
"add my notes","Añadir mis notas","Agregar mis notas"
"not signed by","No firmado por:",""
"refresh","Actualizar",""
"answer insp quest","Por favor, responda al menos a una pregunta de insp. antes de guardar sus notas","Responda al menos a una pregunta de insp. antes de guardar sus notas"
"add insp","Añadir inspección","Agregar inspección"
"can not delete signed insp","Esta inspección ha sido firmada y no puede ser borrada. Póngase en contacto con su oficina para borrar esta inspección.","Esta inspección ha sido firmada y no puede ser borrada. Póngase en contacto con su oficina para eliminar esta inspección."
"can not delete req insp","Esta inspección es obligatoria y no puede borrarse. Póngase en contacto con su oficina para borrar esta inspección.","Esta inspección es obligatoria y no se puede eliminar. Póngase en contacto con su oficina para eliminar esta inspección."
"insp sig cust","Cliente (sitio del contacto, PM, etc.)",""
"insp sig othr","Otros (inspector de seguridad, operador de grúa, etc.)",""
"signed but missing cnt","Firmado (<CNT> faltan firmas)",""
"delete insp","¿Está seguro de que desea eliminar esta inspección?",""
"on site","En el sitio",""
"time card approved entire ft","Tarjeta de tiempo aprobada (forma entera)","Tarjeta de tiempo aprobada (formulario entero)"
"time card approved","Tarjeta de tiempo aprobada",""
"hold for approval","Retener para aprobación",""
"ready for invoicing","Listo para facturar",""
"time cannot be changed after approved","El tiempo no puede modificarse una vez aprobado.","El tiempo no se puede modificar una vez aprobado."
"total price","Precio total",""
"wo & ft flow","Flujo de OT y forma","Flujo de OT y formulario"
"search wo id job name cust job addr","ID de OT, nombre/direcc., cliente del trabajo",""
"open work order","Orden de trabajo abierta",""
"job not linked to quote","Este trabajo no está vinculado a una cotización.",""
"connecting to email provider","Conectarse a su proveedor de correo electrónico y obtener detalles ...",""
"from","De",""
"to","Para",""
"quick dates","Fechas rápidas",""
"create invoices","Crear facturas",""
"week to date","Semana hasta la fecha",""
"month to date","Mes hasta la fecha",""
"year to date","Año hasta la fecha",""
"last two weeks","Últimas dos semanas",""
"last month","Último mes",""
"last quarter","Último trimestre",""
"last year","Último año",""
"last year to date","Último año hasta la fecha",""
"last pay week","Última semana de pago",""
"anytime","En cualquier momento",""
"next week","Próxima semana",""
"next two weeks","Próximas dos semanas",""
"next month","Próximo mes",""
"next quarter","Próximo trimestre",""
"next year","Próximo año",""
"next year to date","Próximo año hasta la fecha",""
"all customers","Todos los clientes",""
"(all)","<All>",""
"pref delivery","Pref. de entrega",""
"quoted","Citado",""
"quoted only","Sólo cotizados","Solo cotizados"
"non quoted only","Sólo no cotizados","Solo no cotizados"
"aia","AIA",""
"aia only","Sólo AIA","Solo AIA"
"non aia only","Sólo no AIA","Solo no AIA"
"cc on file","TC en archivo",""
"<do not change>","<Do Not Change>",""
"also set job status to","Establezca también el estado del trabajo en",""
"flag inv sent to cust","Marcar facturas como enviadas al cliente",""
"ft ready to invoice only","Forma sólo lista para facturar","Formulario solo listo para facturar"
"ft pend approval only","Forma sólo pendiente de aprobación","Formulario solo pendiente de aprobación"
"inv date of","Fecha de facturación de",""
"use last ft dt as inv dt","Utilizar la última fecha de la forma como fecha de facturación por trabajo",""
"ft qty of","Cantidad de la forma: <INV> (de <READY>)","Cantidad del formulario: <INV> (de <READY>)"
"sel ft tot","Selec. total de la forma","Selec. total del formulario"
"show more","Ver más",""
"show less","Mostrar menos",""
"prev ft inv","Forma anterior facturada","Formulario anterior facturado"
"wo qty","Cantidad de OT",""
"job completed","Trabajo terminado",""
"inv type","Tipo de inv.",""
"avg on site rate","Tarifa promedio en el sitio",""
"avg per hr rate","Tarifa promedio por hora",""
"inv due on","Inv. vencido en","Factura vencida el"
