lbl,dflt
"scroll right to see more fields","Percorrer à direita para ver mais campos"
"note this could take a bit","NOTA: Isto pode demorar um pouco..."
"job contract does not match linked job contract","A bandeira de contrato deste trabalho não corresponde à bandeira de contrato de trabalho vinculado (um é contrato, um não é).\nA bandeira de contrato nos empregos vinculados deve coincidir.\n\nVocê gostaria de corrigir esta discrepância e torná-los ambos sinalizados como "Contrato"?"
"sign up","Cadastre-se"
"create app account","Crie sua conta <APPNAME>"
"company info","Informações sobre a empresa"
"company name","Nome da empresa"
"new user info","Informações para novos usuários"
"sign up first user account note","NOTA: Uma vez criada sua conta, você entrará usando este usuário. Uma vez cadastrado, você poderá criar mais usuários."
"physical addr same as mail","O endereço físico é o mesmo que a correspondência"
"physical addr1","Endereço Físico 1"
"mailing addr1","Endereço para correspondência 1"
"app account options","Opções de Produtos <APPNAME>"
"<APPNAME> product","Produto <APPNAME>"
"must select <APPNAME> product","Você deve selecionar um produto <APPNAME>"
"current <APPNAME> product","Produto atual do <APPNAME>"
"upgrade at any time","Você pode atualizar a qualquer momento"
"custcode requirements","O código da empresa deve estar entre 4 e 16 caracteres, começar com uma letra, e ter apenas letras/números (sem espaços)"
"creating account please wait","Criar conta, por favor aguarde"
"sign up button","Criar conta"
"create account","Criar conta"
"cust code must be unique","Os códigos de empresa devem ser únicos.\n\nA empresa que você inseriu já está em uso por outro cliente <APPNAME>. Por favor, digite uma empresa única."
"suggest","Sugira"
"suggested custcode","Código de empresa sugerido: <CUSTCODE>"
"use suggested custcode","Use "<CUSTCODE>"."
"could not suggest cust code","Não foram inseridas informações suficientes. Não foi possível determinar automaticamente uma empresa para usar <span style='font-size:20px'>&#128533;</span>"
"dont have an account","Não tem uma conta?"
"have an account","Tem uma conta?"
"not allowed","Não Permitido"
"login","Login"
"must enter all req fields","Você deve digitar todos os campos obrigatórios antes de prosseguir."
"app account is setup","Parabéns! A sua conta no <APPNAME> está agora criada e pronta para ser utilizada.\nVocê deve ter recebido um e-mail com seu código de empresa e nome de usuário para seus registros.\n\nVocê precisará desta informação para se inscrever:\nCódigo da empresa: <CUSTCODE>\nNome do usuário: <NOME DO USUÁRIO >USERNAME\nSenha: [O que quer que você defina :) ]\n\nClique <a href="https://help.cenpoint.com/docs" target="_blank">here</a> para ver os documentos de ajuda para começar"
"verify","Verifique"
"verify code","Código de Verificação"
"must enter an email before verify","Você deve digitar um endereço de e-mail para verificar"
"check email verify code","Por favor, verifique seu e-mail para obter o código de verificação"
"sign up step 1","Passo 1 - Verifique seu e-mail"
"sign up step 2","Passo 2 - Criar conta"
"must verify email before account","Por favor, verifique seu e-mail antes de criar uma conta."
"must enter verification code","Favor digitar o código de verificação que lhe foi enviado por e-mail."
"incorrect verification code","O código de verificação que você inseriu está incorreto."
"too many incorrect attempts verify again","Você inseriu um código de verificação incorreto demasiadas vezes. Favor clicar novamente em "Verificar" para que outro código seja enviado a você."
"verified email has changed","Parece que você mudou o endereço de e-mail que foi verificado. Por favor, verifique este novo endereço de e-mail."
"cannot deactive user signed in as","Você não pode desativar o usuário que você está conectado como."
"does not want texts","não quer textos"
"must agree to tofu","Você deve concordar com os Termos de Uso e Contrato de Licença antes de poder prosseguir."
"validate","Validar"
"enter password","Digite a senha"
"card to keep on file","Cartão a ser mantido em arquivo"
"texting phone number","Telefone de Texto #"
"area code","Código de área"
"must enter an address before you can find a texting number","Você deve digitar um endereço válido antes de poder pesquisar um número de telefone de texto."
"must enter an area code to search for","Você deve digitar um código de área para pesquisar"
"no numbers available for area code","Não há números disponíveis para o código de área: <AREACODE>"
"select texting phone number","Selecione o número do telefone de texto"
"you have not chosen a texting phone no","Você não selecionou um número de telefone para mensagens de texto.\n\nA <APPNAME> usa o número de telefone de texto para realizar uma série de tarefas, inclusive:\n &bull; Confirme o horário para o dia seguinte com seus clientes\n &bull; Envie mensagens de texto a seus clientes, avisando-os quando estiver a caminho\n &bull; Notifique seus clientes sobre o trabalho concluído e obtenha uma assinatura no bilhete de campo\n &bull; junto com o link de assinatura, você também pode coletar dinheiro (CC) de trabalhos de COD\n &bull; Etc.\n\n Por favor, selecione um número de telefone de texto para evitar não poder usar vários recursos-chave do <APPNAME>."
"skip for now","Pular por enquanto"
"pro code","Código Pro"
"must enter valid pro code","Você deve inserir um Código Pro válido para se inscrever para a Versão Pro ou entrar em contato com a <APPNAME> Sales."
"invalid pro code","Código profissional inválido"
"download desktop","Instalar Cliente Desktop"
"portal sign in","Portal Entrar"
"manage photo","Opções de fotos"
"print with ft","Imprimir com FT"
"print with qt","Imprimir com Citação"
"ocip/ccip","OCIP/CCIP"
"verifying cc","Verificação do CC"
"create cont from cust","<Criar contato do cliente>"
"hide task on qt","Ocultar Tarefa em Citação"
"can only hide items if price is 0","Você só pode esconder itens se eles tiverem um preço zero (0,00)."
"shop","Loja"
"job site","Local de trabalho"
"other","Outros"
"previous job","Trabalho Anterior"
"credit avail","Disponibilidade de crédito."
"credit available","Crédito disponível"
"add wo","Adicionar W.O."
"not authorized did not create","Você não está autorizado a editar isto <ITEM> já que não foi você quem o criou."
"force offline mode","Forçar o modo off-line"
"offline","Offline"
"force offline off but still offline no service","O modo Força off-line está desligado. No entanto, parece que não tem serviço. Vamos mantê-lo em modo off-line até detectarmos que você tenha serviço novamente."
"open ft","FT aberto"
"unsubmitted ft must submit before proceed","Você tem <CNT> FT(s) não submetida(s) dos dias anteriores.\nFavor abrir FT: <FTICKID> de: <DT> e finalize sua papelada e depois envie o FT"
"job id","ID do emprego"
"ft cannot be over 24 hrs create 2nd ft","As passagens de campo não podem exceder 24 horas. Se mais de 24 horas de trabalho foram completadas, favor criar uma segunda passagem de campo."
"ft cannot be over 24 hrs contact office","As passagens de campo não podem exceder 24 horas. Entre em contato com o escritório para que eles preencham seu cartão de ponto."
"uploaded by","Carregado por"
"search desc notes file","Desc, Notas, Nome do arquivo, Carregado por"
"daily summary","Resumo diário"
"schedule summary","Programado. Sumário"
"sched tasks summary","Programado. Resumo das tarefas"
"load my vehicle","Carregar meu veículo"
"status log should normally be filled out on the tech view","O Status Log normalmente deve ser preenchido a partir da visão tecnológica e visto apenas aqui."
"on hand only","Somente na mão"
"",""
"customers-near-me","Clientes perto de mim"
"radius-mi","Milhas"
"radius-km","Quilômetros"
"results","Resultados"
"navigate","Navegue"
"navigate-to","Navegue para"
"forgot-password","Esqueci minha senha"
"enter-new-password","Digite Nova Senha"
"re-enter-new-password","Digite novamente a nova senha"
"new-password-low-hint","Pelo menos 4 caracteres"
"new-password-high-hint","Máximo 24 caracteres"
"pwd-do-not-match","As senhas não correspondem"
"forgot-password-instr","Favor especificar as informações do usuário abaixo"
"reset-options","Opções de reinicialização"
"reset-pwd","Redefinir senha"
"link-is-expired-or-invalid","Este link está expirado ou é inválido. Por favor, obtenha um novo link de reset e tente novamente"
"invalid-forgot-pwd","Código de empresa ou nome de usuário inválido"
"reset-link-success","Um link foi enviado a você com instruções sobre como redefinir sua senha. Por favor, verifique seu e-mail ou telefone."
"reset-success","Sua senha foi redefinida com sucesso. Por favor, faça o login com sua nova senha."
"reset-link-instr","Favor selecionar para onde você gostaria de enviar o link para redefinir sua senha"
"reset-page-instr","Olá <NOME>?"
"view-docs","Ver Docs"
"docs-cnt","Contagem de Docs"
"upload-large-file","Não foi possível carregar seu arquivo <FILE> porque ele é muito grande. O tamanho máximo do arquivo é <MAX_FILE_SIZE>MB"
"edit-photo","Editar foto"
"save-copy","Salvar como cópia"
"edit-image","Editar imagem"
"confirm cancel pic take","Você quer cancelar a edição e ainda salvar esta foto ou cancelar o upload desta foto?"
"save pic","Salvar foto"
"photo view instruct","Ao visualizar uma foto em tela cheia, clique com o botão direito do mouse (pressione e segure nos dispositivos móveis) para ver rapidamente as opções de fotos para aquela foto (ou seja, digite notas / editar foto)."
"send tech sched set","Para Techs - Sched. Set for <DATE>"
"send message","Enviar mensagem"
"confirm send tech sched set text","Enviar Mensagem de Texto a todos os Techs para a lower(<LBLBRANCH>) <BRANCH> e bandeiras WOs como enviadas à Tec?"
"messages sent","Mensagem(s) Enviada(s)"
"cannot send tech message to all branches","Você não pode enviar uma mensagem para os técnicos de todas as <LBLBRANCHES>. Por favor, selecione uma lower(<LBLBRANCH>) específica e depois tente novamente."
"sending...","Enviando..."
"try again","Tente novamente"
"email auth label","Permitir que a <APPNAME> se conecte à sua conta de e-mail"
"saving changes please wait","Economizando mudanças... Aguarde antes de refrescar ou sair"
"saving changes","Economizando mudanças..."
"everything up dt","Tudo está em dia"
"edit img on upload","Editar imagens no upload"
"get signatures","Obter Assinaturas"
"other sig device","Outras Assinaturas (Meu dispositivo)"
"other sig text","Outras Assinaturas (Link de Texto)"
"sent","Enviado"
"text link to site contact","Link de texto para contato no site"
"text sig link","Link de Assinatura de Texto"
"no offline template","Não foi encontrado nenhum modelo fora de linha! Por favor, vá online para obtê-lo do servidor"
"select new insp","Selecione Nova Inspeção"
"insp already on wo","(<COUNT> Already on WO)"
"insp already in wo","<COUNT> inspeção(ões) já foram concluídas para este <INSPTYPE> em (<DATE>). Você gostaria de entrar em outra?"
"no insp quests","Nenhuma pergunta de inspeção foi encontrada."
"travel mode","Modo de viagem"
"driving","Condução"
"public transportation","Transporte Público"
"not completed","Não Concluído"
"signed by","Assinado por:"
"my inspections","Minhas inspeções assinadas"
"others inspections","Outras inspeções"
"not signed","Não Assinado"
"fill insp before ft","Você deve preencher e assinar a inspeção <NAME> antes de poder abrir o Field Ticket."
"insp already signed","(<COUNT> Já Assinado)"
"insp not signed","Favor assinar a inspeção antes de fazer o download"
"insp not saved","A inspeção não é salva, portanto você não pode fazer o download."
"no addl techs","Não foram encontrados técnicos adicionais"
"no cust sigs","Sem assinaturas de clientes"
"no other sigs","Nenhuma outra assinatura"
"add my notes","Adicionar minhas notas"
"not signed by","Não Assinado por:"
"refresh","Atualização"
"answer insp quest","Por favor, responda pelo menos uma pergunta antes de salvar suas anotações."
"add insp","Adicionar Inspeção"
"can not delete signed insp","Esta inspeção foi assinada e não pode ser apagada. Favor entrar em contato com seu escritório para apagar esta inspeção."
"can not delete req insp","Esta inspeção é necessária e não pode ser apagada. Favor entrar em contato com seu escritório para excluir esta inspeção."
"insp sig cust","Cliente (Contato no local, PM, .etc.)"
"insp sig othr","Outros (inspetor de segurança, operador de guindastes, etc.)"
"signed but missing cnt","Assinado (<CNT> falta de assinaturas)"
"delete insp","Você tem certeza de que quer apagar esta inspeção?"
"on site","No local"
"time card approved entire ft","Cartão de Ponto Aprovado (FT inteiro)"
"time card approved","Cronograma aprovado"
"hold for approval","Pedido de Aprovação"
"ready for invoicing","Pronto para o Faturamento"
"time cannot be changed after approved","O tempo não pode ser alterado após ser aprovado."
"total price","Preço total"
"wo & ft flow","WO & FT Flow"
"search wo id job name cust job addr","WO ID, Nome/endereço de trabalho, Cliente"
"open work order","Ordem de Trabalho Aberta"
"job not linked to quote","Este trabalho não está ligado a uma citação."
"connecting to email provider","Conectando-se ao seu provedor de e-mail e obtendo detalhes ..."
"from","De"
"to","Para"
"quick dates","Datas rápidas"
"create invoices","Criar faturas"
"week to date","Semana até a data"
"month to date","Mês até a data"
"year to date","Ano até a data"
"last two weeks","Últimas duas semanas"
"last month","Último mês"
"last quarter","Último trimestre"
"last year","Ano passado"
"last year to date","Último ano até hoje"
"last pay week","Última semana de pagamento"
"anytime","A qualquer momento"
"next week","Semana seguinte"
"next two weeks","Próximas Duas Semanas"
"next month","Próximo mês"
"next quarter","Próximo trimestre"
"next year","Próximo ano"
"next year to date","Próximo ano até a data"
"all customers","Todos os clientes"
"(all)","<Tudo>"
"pref delivery","Pref. Entrega"
"quoted","Citado"
"quoted only","Citado apenas"
"non quoted only","Somente não cotado"
"aia","AIA"
"aia only","Somente AIA"
"non aia only","Somente não-AAIA"
"cc on file","CC Em arquivo"
"<do not change>","<Não mudar>"
"also set job status to","Definir também o status do trabalho para"
"flag inv sent to cust","Faturas de bandeiras como enviadas ao cliente."
"ft ready to invoice only","FT Pronto para faturar somente"
"ft pend approval only","Apenas aprovação FT Pendente"
"inv date of","Data da fatura de"
"use last ft dt as inv dt","Use Last Field Ticket Dt como data da fatura por emprego"
"ft qty of","FT Qtde: <INV> (de <Pronto>)"
"sel ft tot","Sel. FT Tot."
"show more","Mostrar mais"
"show less","Mostrar menos"
"prev ft inv","Prev. FT Faturação"
"wo qty","WO Qtd."
"job completed","Trabalho concluído"
"inv type","Tipo de Inv."
"avg on site rate","Avg. Taxa no local"
"avg per hr rate","Avg. Por Hr Taxa"
"inv due on","Inv devido em"
"contract","Contrato"
"wo qty remaining","WO Qtd. restante"
"confirm delete ft","Você tem certeza de que deseja excluir o FT: <FTICKID>?"
"ft has been deleted","Passagem de campo: <FTICKID> foi eliminado."
"delete ft","Eliminar FT"
"delete wo","Eliminar WO"
"create invoice...","Criar fatura..."
"inv for","Faturas para"
"preview","Pré-visualização"
"hide preview","ocultar visualização"
"must select at least 1 ft to inv","Você deve selecionar pelo menos um bilhete de campo para faturar."
"cust requires po and work missing req data really want to invoice","Este cliente requer um PO ou Req. e 1 (ou mais) ordens de trabalho estão faltando os dados necessários. Você tem certeza de que deseja faturar este cliente sem os dados requeridos?"
"cust requires po and job missing req data really want to invoice","Este cliente necessita de um pedido de compra ou de um número de pedido. e este trabalho não tem os dados necessários. Tem a certeza de que pretende facturar este cliente sem os dados necessários?"
"invoice below minimum really want to invoice","Esta fatura/trabalho tem um preço abaixo da tarifa mínima de trabalho da lower(<LBLBRANCH>). Você tem certeza de que deseja faturar este trabalho abaixo do mínimo?"
"creating preview...","Criando Pré-visualização..."
"fin tran locked before","De acordo com as configurações da lower(<LBLBRANCH>), as transações financeiras não são permitidas em ou antes de <DATA>."
"ft has line item flagged taxable but no tax","FT <FTICKID> tem <CNT> item(s) de linha marcado(s) como tributável, mas nenhum imposto foi cobrado. Isto é correto?"
"mark fts ready to inv","Mark FT's Ready to Inv."
"email - pdf","Email - PDF"
"email - link","Email - Link"
"email - link pdf","Email - Link & PDF"
"text - link","Texto - Link"
"invoice only","Somente faturas"
"invoice and fts","Faturas & FT's"
"cnt invoices have been created","<CNT> fatura(s) foi(foram) criada(s)."
"select fts","Selecione FT's"
"view fts","Ver FT's"
"open customer","Cliente aberto"
"send an email","Envie um e-mail"
"email cc","Cc"
"subject","Assunto"
"quick","Rápido"
"email bcc","Bcc"
"needs repair","Necessidades\n Reparo"
"engine hours","Horas do motor"
"body","Corpo"
"attach","Anexar"
"remove","Remover"
"no attachment found","Nenhum anexo(s) encontrado(s)."
"external file","Arquivo externo"
"app quote","<APPABBR> Citação"
"app field ticket","<APPABBR> Passagem de Campo"
"app invoice","<APPABBR> Fatura"
"app invoice & fts","<APPABBR> Fatura & FTs"
"external photo","Foto externa"
"must specify someone to send email to","Você deve especificar alguém para quem enviar o e-mail."
"subject cannot be blank","O assunto não pode estar vazio"
"body cannot be blank","O corpo não pode estar vazio"
"email sent","E-mail Enviado!"
"quick email addresses","Endereços de e-mail rápidos"
"creating invoices...","Criando faturas..."
"job not selected to invoice","O trabalho não é selecionado para a fatura."
"this will release hold approval and flag ready to inv","Isto liberará a aprovação para cada FT e os marcará como "Prontos para faturar"."
"continue","Continuar"
"insp already done","<COUNT>>TIPO> inspeção(ões) já foram feitas para isto <TIPO> hoje (<DATA>). Você gostaria de entrar em outra?"
"select ft to inv","Selecione os bilhetes de campo para a fatura"
"yes/continue","Sim/Continuar"
"create inv with date of","Criar faturas com uma data de fatura de: <DATA>"
"veh insp req on date","Inspeção de veículos requerida para <VEHNAME> em <DATE>"
"must perform pretrip of veh before view wo","Você deve realizar uma inspeção do veículo:\n\n<VEHNAME>\n\nantes que você possa ver o <TYPE>"
"must perform pretrip of veh before setting status","Você deve realizar uma inspeção do veículo:\n\n<VEHNAME>\n\nantes de inserir a hora no <TYPE>"
"enter inspection","Entrar Inspeção"
"addl insp desc","Descrição adicional (Opcional)"
"invoice anyway","Fatura de qualquer forma"
"must enter engine hours","Você deve digitar as horas de motor atuais do equipamento"
"inspect","Inspecione"
"search inv id job name cust job addr","Inv. No., Nome/Addr. de emprego, Cliente"
"invoices","Faturas"
"find insponly inv with bal today","Encontre o InspectionOnly Inv. c/ um balanço"
"only inv with bal today","Somente Inv. c/ um balanço"
"sec settings no create inv preview only","Suas configurações de segurança não permitem a criação de faturas. Você não será capaz de criar a fatura."
"find invoices","Encontrar faturas"
"link expired","Este link está expirado. Por favor, solicite um novo link."
"link invalid","Este link é inválido.\n\nPor favor, volte para o link original que lhe foi enviado e tente novamente."
"find insp","Encontrar Inspeção"
"email or text...","E-mail ou texto..."
"paid","Pago"
"balance","Balanço"
"pretrip deprecated","Pretrip (Depreciado)"
"manage insp","Gerenciar inspeções"
"insp def","Definir Inspeção"
"insp name","Nome da inspeção"
"categories","Categorias"
"questions","Perguntas"
"available at","Disponível em"
"set disp order","Set Display \n Ordem"
"manage insp cat","Gerenciar a categoria de inspeção"
"answer type","Tipo de resposta"
"must enter name","Deve digitar o nome"
"must pick ans type","Tipo de Resposta Must Pick"
"insp type","Tipo de inspeção"
"no req insp found","Não foram encontradas inspeções necessárias"
"add users","Adicionar usuários"
"define tasks","Definir Tarefas"
"quick start","Início rápido"
"getting started instruct","Siga os passos abaixo para começar a trabalhar com os princípios básicos do <APPNAME>."
"getting started instruct 2","Há muito mais no <APPNAME> do que o básico, então não se esqueça de continuar explorando depois de dominá-los!"
"enter a customer","Entrar um cliente"
"add a job","Adicionar um emprego"
"click add on the next screen to add a new","Clique + na próxima tela para adicionar um novo <ITEM>"
"explore the scheduler","Explore o Agendador"
"check out help docs for more info","Confira a classe <span="text-hyperlinkblue pointer">help docs</span> para mais informações."
"manage insp quest","Gerenciar pergunta de inspeção"
"tech is req to answer","A técnica é necessária para responder"
"include notes section","Incluir seção de notas"
"set disp ordr","Definir ordem de exibição"
"disp ordr instructions","Arrastar itens para cima/para baixo para mudar a ordem de exibição"
"please select type to reorder","Selecione por favor <TIPO> Tipo para mudar a ordem de exibição"
"(none)","<NENHUM>"
"count","Conde"
"copy insp def","Definição de inspeção de cópia"
"paste insp def","Definição de Inspeção de Pasta"
"del insp cat","Você tem certeza de que quer excluir esta categoria?"
"del insp quest","Você tem certeza de que quer apagar esta pergunta?"
"select at least 1 branch","Você deve disponibilizar esta inspeção para pelo menos 1 lower(<LBLBRANCH>) antes de poder salvá-la."
"must enter 1 cat and 1 quest","Você deve entrar pelo menos 1 categoria e 1 pergunta antes de salvar."
"must enter insp name and type","Você deve digitar o nome e o tipo de inspeção."
"no categories found","Nenhuma categoria encontrada"
"no questions found","Nenhuma pergunta encontrada"
"avail at branches","Disponível nas <LBLBRANCHES>"
"insp quest instructions","Defina sua pergunta de inspeção conforme desejado. Por exemplo, 'Pergunta' poderia ser seu 'Plano de Resgate revisado' e ter uma categoria de 'Preparação para o Trabalho'."
"insp cat instructions","Defina sua categoria de inspeção conforme desejado. Por exemplo, 'Categoria' poderia ser sua 'Verificar Óleo de Motor' e ter um tipo de resposta 'Sim, Não, Caixas N/A'."
"addl insp desc instruction","ou seja, quarto andar, elevador de tesoura, ..."
"not avail template mode","Esta ação não está disponível no modo modelo"
"leave","Sair"
"stay","Fique"
"new email","Novo e-mail"
"manage plan","Plano de gestão"
"plan","Plano"
"must be system admin to proceed","Você deve ser um Administrador de Sistema para realizar esta ação"
"manage account","Gerenciar conta"
"upgrade","Atualização"
"current","Atual"
"upgrade to","Atualização para"
"already have all features","Legal! Você já tem acesso a todos os recursos do <APPNAME>."
"compare features","Comparar características"
"compare features 2","Comparação\nCaracterísticas"
"for pricing click on compare feature or give us a call","Para preços ou perguntas, clique em 'Comparar características' ou ligue para nós."
"app #","8014786822"
"email for receipts","Recibos de e-mail para"
"must enter email for receipts","Você deve digitar um e-mail para recibos."
"confirm app upgrade","Novos recursos incríveis aguardam por nós. Por favor, confirme:\n\nAtualização a partir de: <CURVERSÃO>\nPara: <NEWVERSION>?"
"send site contact","Contatos para o site - em Sched for <DATE>"
"confirm send site contact sched set","Enviar mensagem de texto para os contatos do site para <OPÇÃO> em <DATA>?"
"cannot send site contact message to all branches","Você não pode enviar uma mensagem aos contatos do site para todas as lower(<LBLBRANCHES>). Por favor, selecione uma lower(<LBLBRANCH>) específica e depois tente novamente."
"1 wo","Somente 1ª WO"
"all wo","Todas as OMA"
"upgrading account","Atualização de conta"
"account upgraded","A conta foi atualizada com sucesso.\n\nNota: O aplicativo só verifica a existência de um novo tipo de versão uma vez por dia. Talvez seja necessário sair e voltar a entrar em outros dispositivos para ver as novas funcionalidades."
"manage users","Gerenciar usuários"
"to add users give us a call","Para adicionar mais usuários à sua conta, ligue para nós"
"show quick start","Mostrar Início Rápido"
"must enter jsa","Você deve entrar em uma JSA antes de abrir o Field Ticket"
"must enter atp","Você deve entrar em um Auth. para Proceder antes de abrir o Field Ticket"
"must enter fsp","Você deve rever e assinar o Plano de Segurança antes de abrir o Field Ticket"
"branch settings require lunch break","As configurações da empresa requerem uma pausa para almoço"
"payment history","Histórico de pagamento"
"pmt","Pmt"
"amt","Amt."
"email receipt","Recibo de e-mail"
"view receipt","Ver Recibo"
"receipt","Recibo"
"multiple","Múltiplos"
"barcode launching camera","Ao ligar a câmera, por favor, espere..."
"camera not supported","Não disponível porque seu dispositivo não tem suporte para câmera."
"allow camera access","Para acessar esta tela, você deve permitir que a câmera seja utilizada.  Por favor, clique no botão "Permitir" na tela."
"camera permission denied","A permissão de uso da câmera foi negada. Por favor, permita que a câmera seja usada para ter acesso a este recurso."
"barcode is not supported","* Código Linear 93 não suportado"
"barcode instructions","Por favor, certifique-se de verificar o número de série no caso de"
"barcode reader","Leitor de código de barras"
"media not supported","O streaming de vídeo (Media Stream API) não é suportado"
"barcode shadow may affect","* As sombras podem afetar a leitura do código de barras"
"tech demo mode","Modo de demonstração Tech View"
"demo","Demonstração"
"time cards","Cartões de ponto"
"time cards and payroll","Cartões de ponto e folhas de pagamento"
"tech dtl & sum","Resumo técnico e resumido"
"review tech time","Tempo técnico de revisão"
"job branch","<LBLBRANCH> de trabalho"
"show time in decimals","Mostrar o tempo em decimais"
"show unpaid only","Mostrar Somente Não pago"
"show nonpay records","Mostrar Registros Não-Pagos"
"show clock in in","Mostrar Relógio em"
"user dept type","Tipo de Departamento do Usuário"
"office / sales","Escritório / Vendas"
"technician / mechanic","Técnico / Mecânico"
"sales","Vendas"
"mechanic","Mecânica"
"in field","No campo"
"connecting to salesforce","Conexão com a força de vendas"
"connect to salesforce","Conectar à força de vendas"
"salesforce auth success","Você conectou com sucesso sua conta Salesforce. Agora você pode voltar ao seu aplicativo <APPNAME>."
"sales force auth fail","Não foi possível autenticar com a Salesforce. Motivo: <ERRORMSG>"
"str","Str"
"ot","OT"
"dbl","Dbl"
"travel 1","Viagem 1"
"travel 2","Viagem 2"
"tot dur","Tot Dur"
"str tm","Str Tm"
"dbl tm","Dbl Tm"
"unpaid break","Intervalo não pago"
"cert","Cert."
"daily str tot","Dly Str Tot"
"trav 1","Trav 1"
"trav 2","Trav 2"
"totals","Totais"
"break","Intervalo"
"auto correct ot...","Auto Corrigir OT..."
"export","Exportação"
"warnings","Avisos"
"all","Todos"
"none","Nenhum"
"all completed jobs","Todos os trabalhos concluídos"
"move time","Tempo de movimentação"
"map","Mapa"
"add clock in","Adicionar Relógio"
"approve time","Aprovar o tempo"
"time already approved","Tempo já aprovado."
"copy time from lead tech","Tempo de cópia do Lead Tech"
"copy time from lead","Tempo de cópia do chumbo"
"cannot add workers once time card is approved","Não é possível acrescentar trabalhadores uma vez que o cartão de ponto tenha sido aprovado."
"viewfttm warnings desc","FT No (i.e. 0000012345 ou Clock In): O tempo não foi aprovado\n\nColuna Str Total (i.e. 8,50): Não passou as regras de horas extras de <LBLBRANCH>s\n<span class="margin-left-30">NOTE: O tempo de PTO está excluído das regras OT</span>\n\nInício Tm - Fim Tm (ou seja, 7:00h-12:00h): Tempos de sobreposição encontrados"
"no record highlighted","Nenhum registro destacado"
"cannot modify a summary record","Você não pode modificar um registro sumário"
"all systems up","Todos os sistemas operacionais"
"data servers","Servidores de dados"
"app servers","Servidores App"
"other servers","Servidores Outros"
"partial outage","Corte parcial"
"as of","A partir de:"
"check all servers","Verifique todos os Servidores"
"manage clock in","Gerenciar os dados de entrada/saída do relógio"
"paid time off","Tempo livre pago"
"at","Em"
"duration","Duração"
"email auth success","Autenticado com sucesso com <TYPE>"
"unable to retrieve email address","Mas não conseguimos recuperar o endereço de e-mail com o qual você se autenticou (sim, parece estranho, mas não conseguimos controlar seu provedor de e-mail ;) )\n<b>Por favor, digite manualmente o <em> Endereço de e-mail</em> que você usou para autenticar no <APPNAME> sob as preferências do usuário</b>"
"email auth success submsg","Agora você pode voltar ao seu aplicativo <APPNAME> e enviar e-mails usando sua conta"
"email auth fail","Autenticação falhada com <TYPE>"
"invalid email type","Tipo de e-mail inválido aprovado / não suportado. Favor contatar a <APPNAME> para adicionar suporte a um novo provedor de e-mail."
"email not approved","Você não aprovou a conexão com sua conta <TYPE>."
"time card can only be approved with times","O cartão de ponto só pode ser aprovado após a entrada dos tempos."
"must specify a user","Você deve especificar um usuário."
"unusal amount of time are you sure","Este é um período de tempo incomum. Você tem certeza de que isto está correto?"
"vacation","Férias"
"in date/time must be before out date/time","Em data/hora deve ser antes de Data/hora de saída"
"vacation is normally pto flag as pto","Normalmente o tempo de férias deve ser marcado como PTO (Paid Time Off). Você gostaria de marcar este tempo de férias como PTO agora?"
"can only delete clock in from here","Você só pode apagar registros de entrada/saída do relógio daqui."
"permanently delete clock in","Isto apagará permanentemente o registro do relógio de ponto destacado. Você tem certeza?"
"send email through","Enviar e-mails através de"
"send test email","Enviar Teste \n Email"
"email account","Email Login.Acct*"
"email password","Senha de e-mail"
"smtp email hint","* Deve ser capaz de autenticar com o servidor SMTP de e-mail da <LBLBRANCH>"
"gmail office365 hint","* Autenticar com <TYPE> no navegador"
"cenpoint email hint","* Os e-mails vêm de messages@cenpoint.com, as respostas vão para seu e-mail"
"reset cred","Reinicialização \n Credenciais"
"emailpwd updated","Email Senha Atualizada"
"must enter email addr","Você deve digitar seu endereço de e-mail."
"must enter email pwd","Você deve digitar sua senha de e-mail."
"must enter email acct","Você deve inserir seu e-mail de login."
"must authenticate","Você deve autenticar com seu provedor de e-mail antes de poder enviar um e-mail de teste."
"sign in with email provider","Entre com <TYPE>"
"must be signed in as this user","Você deve estar conectado ao <APPNAME> como este usuário para autorizar no navegador."
"email set up","Parabéns! Seu e-mail parece estar configurado / funcionando corretamente."
"email not set up","Uh oh :(\n Parece que suas configurações de e-mail não estão muito corretas. Você tem um erro de digitação em seu e-mail ou senha?"
"email reset cred","Você tem certeza de que deseja redefinir sua autorização de e-mail para <TYPE> ?"
"email reset cred success","As credenciais de e-mail foram redefinidas. Favor re-autorizar o <APPNAME> a fim de enviar e-mails."
"email reset cred fail","Erro ao redefinir as credenciais de e-mail"
"already granted","(Já Concedido)"
"change email app","Atualmente você está autenticado com <TYPE>.\n A mudança para uma forma diferente de envio de e-mails apagará sua autenticação atual.\n Você tem certeza que deseja mudar para <NEWTYPE>?"
"set change","Conjunto / Mudança"
"change","Mudança"
"dflt email txt","Texto padrão de e-mail (i.e. Assinatura, Isenção de responsabilidade, etc)"
"dflt email txt note","Nota: Suporta HTML. Adicione suas próprias tags se você se sentir confortável"
"save email signature","Salvar Assinatura"
"confirm email logo change","Atualmente, você tem <LOGO> como seu logotipo de e-mail. Você tem certeza de que deseja <AÇÃO>?\n NOTA: Isto não pode ser desfeito."
"logo","Logotipo"
"logo link","Link com logotipo"
"outlook msg","Seu e-mail de usuário está configurado atualmente para ser enviado via Outlook. Essa opção não está disponível no portal. Por favor, envie este e-mail na versão desktop."
